subcategory_id,subcategory_code,category_id,category_code,slug,display_name_fr,display_name_fa_draft,fa_label_status,membership_rule_fa,display_order,status,taxonomy_version
270c356c-71f5-56f3-9210-6468e85f5e09,SUB01,ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,core_irregular_verbs,Verbes fondamentaux,افعال بنیادی,approved_project_translation_v1.0,être / avoir / aller وقتی محور درس خودِ فعل و کاربردهای پایهٔ آن است.,1,active,taxonomy-v0.9.0
066fe514-5143-5704-b4b1-66b22f607ab2,SUB02,ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,present_conjugation_patterns,Conjugaison au présent,الگوهای صرف حال,approved_project_translation_v1.0,الگوهای صرف گروه‌های فعلی در présent، نه درس‌های زمان‌محور مستقل.,2,active,taxonomy-v0.9.0
5e7bb92c-8694-5a16-a7b7-b9f14bd7bca1,SUB03,ec3e2ec8-5edd-58c6-af79-bfe6bdd2a3af,CAT01,verb_constructions,Constructions verbales,ساخت‌های فعلی,approved_project_translation_v1.0,افعال pronominaux و افعال حرکت وقتی محور، رفتار ساختی/معنایی گروه فعل است.,3,active,taxonomy-v0.9.0
07726fd8-3a18-59d7-a71d-1bda918482d1,SUB04,e429d27c-d763-5f7c-a21f-cbec18a6cf9f,CAT02,past_tenses,Temps du passé,زمان‌های گذشته,approved_project_translation_v1.0,درس‌های زمان‌محور passé composé، imparfait و plus-que-parfait.,1,active,taxonomy-v0.9.0
3fd102c7-ae02-559f-ab09-6b9c6e518ec9,SUB05,e429d27c-d763-5f7c-a21f-cbec18a6cf9f,CAT02,future_tenses,Temps du futur,زمان‌های آینده,approved_project_translation_v1.0,درس‌های زمان‌محور futur proche، futur simple و futur antérieur.,2,active,taxonomy-v0.9.0
3ef076cd-a824-5804-85f3-8752ae7a03a5,SUB06,14239c26-01ec-5ede-ba0b-07619d66ca8e,CAT03,verbal_moods,Modes verbaux,وجه‌های فعلی,approved_project_translation_v1.0,impératif، conditionnel و subjonctif وقتی خودِ mode محور درس است.,1,active,taxonomy-v0.9.0
30db3e12-3af2-5fd3-a736-31b3f0e804fa,SUB07,14239c26-01ec-5ede-ba0b-07619d66ca8e,CAT03,voice_nonfinite_aspect,"Voix, formes non finies et aspect",مجهول، صورت‌های غیرشخصی و نمود,approved_project_translation_v1.0,passif، gérondif/participe présent و périphrases aspectuelles.,2,active,taxonomy-v0.9.0
fd24e474-a076-5170-8f15-c238444265da,SUB08,7516a18a-919c-5431-8ef2-1bfe2a33500a,CAT04,adverbial_object_pronouns,Pronoms adverbiaux et compléments,ضمیرهای قیدی و متممی,approved_project_translation_v1.0,en، y و pronoms compléments به‌عنوان جانشین متمم.,1,active,taxonomy-v0.9.0
4df9711b-5245-556b-b7a3-1d1bdd75a49d,SUB09,7516a18a-919c-5431-8ef2-1bfe2a33500a,CAT04,tonic_pronouns,Pronoms toniques,ضمیرهای تأکیدی,approved_project_translation_v1.0,moi/toi/lui… و کاربردهای بعد از حرف اضافه/تقویت.,2,active,taxonomy-v0.9.0
0a5bb842-ecf6-5cb4-85d7-07c9ac173f2f,SUB10,7516a18a-919c-5431-8ef2-1bfe2a33500a,CAT04,relative_pronouns,Pronoms relatifs,ضمیرهای موصولی,approved_project_translation_v1.0,qui/que/où/dont و relatives composés.,3,active,taxonomy-v0.9.0
