type_id,question_type_code,display_order,name_fa,system_name_en,cognitive_level,response_mode,base_share_pct_within_policy,catalogue_version,status,recovery_version
e9f1df52-d4b8-5e27-a3fb-c7301f53be50,CLOZE_SINGLE,1,جای خالی تک‌قاعده,Single-rule cloze,RECALL,SINGLE_CHOICE_4,10.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
32374c7b-9284-562f-8bcd-c3bbcad6728f,CLOZE_CONTEXT,2,جای خالی در context,Contextual cloze,APPLICATION,SINGLE_CHOICE_4,11.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
21ebada3-ac9a-519a-a0b1-58a57ba7e9c9,CORRECT_SENTENCE,3,انتخاب جمله صحیح,Correct sentence selection,DISCRIMINATION,SINGLE_CHOICE_4,9.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
a2fbc3d0-466a-5e81-bfdd-376ec6796aae,INCORRECT_SENTENCE,4,یافتن جمله غلط,Incorrect sentence selection,DISCRIMINATION,SINGLE_CHOICE_4,7.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
646c0bc6-2722-50af-b7c9-ae0657805553,ERROR_LOCATION,5,تشخیص نوع/محل خطا,Error location analysis,DISCRIMINATION,SINGLE_CHOICE_4,5.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
bd178d4e-0325-51b4-9c06-8040893e4437,CONJUGATION,6,صرف فعل,Conjugation choice,RECALL,SINGLE_CHOICE_4,6.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
8fb82828-73d5-573a-8ccd-7d165372beab,TENSE_CHOICE,7,انتخاب زمان,Tense choice in context,APPLICATION,SINGLE_CHOICE_4,6.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
b6e57a62-931c-5b3f-8aff-dafe096d5d65,PRONOUN_CHOICE,8,انتخاب ضمیر,Pronoun choice,APPLICATION,SINGLE_CHOICE_4,5.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
080bebd0-8e3d-51e9-ad82-13c256bc513a,PREPOSITION_CHOICE,9,انتخاب حرف اضافه,Preposition choice,APPLICATION,SINGLE_CHOICE_4,5.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
e7c92ba5-b1c8-5672-b377-08c7a1641350,REWRITE_EQUIV,10,بازنویسی هم‌معنی,Equivalent rewrite,DISCRIMINATION,SINGLE_CHOICE_4,8.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
d925f39a-26df-5760-8581-4e1577d0afb3,FR_TO_FA,11,فرانسوی به فارسی,French to Persian meaning,RECALL,SINGLE_CHOICE_4,4.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
eb413534-d902-573b-860e-7f0e219c7e51,FA_TO_FR,12,فارسی به فرانسوی,Persian to French constrained translation,APPLICATION,SINGLE_CHOICE_4,4.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
5bf2c002-80ba-5784-bcec-9f852d0e3b91,DIALOGUE_COMPLETE,13,تکمیل مکالمه,Dialogue completion,APPLICATION,SINGLE_CHOICE_4,8.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
45b6af11-30d8-5189-89b9-210478143d49,REGISTER_CHOICE,14,سطح رسمی/محاوره‌ای,Register choice,DISCRIMINATION,SINGLE_CHOICE_4,3.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
fce34dfe-f5ca-5be6-8d2b-254d546e745a,CONTRAST_RULES,15,تمایز دو قاعده نزدیک,Contrast close rules,DISCRIMINATION,SINGLE_CHOICE_4,9.0,question-type-catalogue-v0.9.0,ACTIVE_RECOVERED_REFERENCE,question-authoring-recovery-v1.0.0
