misconception_id,subtopic_code,misconception_family,id_origin,recovery_version
3cd2b4ab-6fe3-575b-a59b-f326732af77f,L01-S01,OVERGENERALIZATION,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
ed1cb618-49c5-5e0e-b64e-53219e3404d0,L01-S01,NEAR_FORM_CONFUSION,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
b6cc8989-a591-57a7-a9ee-2f086dc8723b,L01-S01,CONTEXT_ROLE_MISMATCH,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
ed1e4e4b-62d2-5ed8-8af6-f95c44aacf4c,L01-S01,EXCEPTION_NEGLECT,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
75aceb1d-0764-55ae-9eae-dd2b4c2377df,L01-S02,OVERGENERALIZATION,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
1bd50e07-bb56-599b-819d-25e515287709,L01-S02,NEAR_FORM_CONFUSION,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
53b4a91c-e5a2-5ec0-b58f-6852e79c5d2e,L01-S02,CONTEXT_ROLE_MISMATCH,HISTORICAL_ID_PRESERVED_FROM_PRIOR_ARTIFACT,question-authoring-recovery-v1.0.0
821164ac-85c7-58f9-88fd-a4ac7300d3e9,L01-S03,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
cf4d4be1-15ee-54e2-a7fa-cdb2196a2709,L01-S03,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
dacc499c-707a-5ea0-b3ee-3fae16ce4c08,L01-S03,CONTEXT_ROLE_MISMATCH,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
e19ce568-e639-5dfc-bef7-e005b077faf7,L01-S03,EXCEPTION_NEGLECT,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
7e5c4ddb-102e-5de7-89ea-bf925d9df10d,L01-S04,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
1be62354-dfd8-5cff-9a9f-2dfb51e2e9e6,L01-S04,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
9df7199b-c069-54d7-b70c-3a7fda0420a5,L01-S04,CONTEXT_ROLE_MISMATCH,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
968f7f16-2ca8-57ba-8fe0-fda33eb53a11,L02-S01,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
47d690b1-6220-5032-b2d7-12d166162c1b,L02-S01,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
d74c7c07-e0a9-5eeb-ba22-fb681a5d54e9,L02-S01,CONTEXT_ROLE_MISMATCH,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
d7c037c3-b5b7-5d84-8f98-67c917a29a48,L02-S01,EXCEPTION_NEGLECT,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
4c73a980-0261-5981-91c8-b297c5c5047d,L02-S02,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
66153b2e-8ae0-5f42-8d10-92fc53459eec,L02-S02,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
f4665490-ae6a-5e2d-b099-fe8e5ed41f41,L02-S02,CONTEXT_ROLE_MISMATCH,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
446dce57-d03b-5000-a0c3-d5b78c1b4a1d,L02-S02,EXCEPTION_NEGLECT,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
59ad84fe-85d8-5eac-b152-f80a7bbc51fc,L02-S03,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
926cc81b-5b94-588d-9d33-c647c8a2c200,L02-S03,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
84e44f29-079f-5e14-a2b3-d189e731635e,L02-S03,CONTEXT_ROLE_MISMATCH,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
28b42f12-3976-5403-b2cf-f2040e7a9105,L02-S03,EXCEPTION_NEGLECT,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
76575514-baab-593a-9e9c-04ead9281292,L02-S04,OVERGENERALIZATION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
5ba1f255-6575-5218-b657-db7a948e9097,L02-S04,NEAR_FORM_CONFUSION,RECOVERED_DETERMINISTIC_UUID5,question-authoring-recovery-v1.0.0
