subtopic_id,subtopic_code,lesson_id,lesson_no,lesson_title_fr,title_fr,title_fa_draft,definition_short_fa,explanation_long_fa,notes_exceptions_register,source_book_pages,source_pdf_pages,source_ref,source_basis,translation_status,content_version
cfdb9cd8-73ac-48d3-8b53-3434fe851607,L01-S01,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,Être au dialogue de base,کاربرد être در جملهٔ پایه,être برای معرفی وضعیت، هویت، ملیت و مکان به‌کار می‌رود.,در فرانسه فعل معمولاً با اسم یا ضمیر فاعلی می‌آید. کتاب با être گفت‌وگوی پایه، ملیت و مکان را می‌سازد؛ à برای شهر محل حضور، de برای مبدأ و chez برای نزد/خانهٔ شخص می‌آید.,de پیش از واکه به d’ کوتاه می‌شود.,8,10,Lesson 1; printed p. 8,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
1237cb2a-77f1-42e5-8f99-aa79ac2d41db,L01-S02,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,Conjugaison de « être »,صرف être,"صرف حال être: suis, es, est, sommes, êtes, sont.",صورت فعل با ضمیر فاعلی تغییر می‌کند و یکی از بنیادی‌ترین الگوهای صرف کتاب است.,,10,12,Lesson 1; printed p. 10,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
2d95b9d7-f446-49d9-bab9-01db75bf00ea,L01-S03,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,Pronoms sujets avec « être »,ضمیرهای فاعلی,"je, tu, il/elle/on, nous, vous, ils/elles فاعل جمله‌اند.",vous هم جمع و هم مؤدبانه است؛ tu برای رابطهٔ آشنا. on در گفتار غالباً معادل nous است ولی فعل مفرد می‌گیرد؛ on همچنین می‌تواند tout le monde/les gens باشد.,il/elle برای شخص یا شیء؛ ils برای گروه مذکر یا مختلط.,10,12,Lesson 1; printed p. 10,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
6f0ff508-1612-49b8-b1f5-283619cfdc64,L01-S04,eb643021-d5f2-4093-8fd2-835a2199ef3f,1,LE VERBE « ÊTRE »,Liaison avec « être »,لیِزون با être,در برخی ترکیب‌های ضمیر + être liaison اجباری است.,کتاب به‌طور مشخص vous_êtes و on_est را به‌عنوان liaison اجباری نشان می‌دهد.,,10,12,Lesson 1; printed p. 10,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
edfe2905-bf23-49a0-aa85-8037790301eb,L02-S01,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),Masculin et féminin de l’adjectif,مذکر و مؤنث صفت,مؤنث صفت غالباً با افزودن -e ساخته می‌شود.,قاعدهٔ عمومی +e است، اما پایان‌های مختلف می‌توانند تغییر نوشتاری/آوایی، دوبرابرشدن همخوان یا تغییر پسوند داشته باشند.,الگوهای -en/-enne، -on/-onne، -el/-elle، -f/-ve، -eux/-euse، -er/-ère و صورت‌های نامنظم مانند beau/belle، vieux/vieille، blanc/blanche.,12,14,Lesson 2; printed p. 12,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
0c0ad026-3216-4ade-a8ed-2b8ad3fbffba,L02-S02,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),Singulier et pluriel de l’adjectif,مفرد و جمع صفت,جمع صفت معمولاً با -s ساخته می‌شود و با مرجع توافق می‌کند.,صفات پایان‌یافته به s/x در جمع ثابت‌اند؛ برخی -al/-au به -aux می‌روند. گروه مختلط توافق مذکر جمع می‌گیرد.,banal/fatal/naval/final جمع -als دارند.,14,16,Lesson 2; printed p. 14,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
bc10049a-8af0-4132-b499-7795d48e78a0,L02-S03,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),Adjectifs de couleur,صفات رنگ,صفات رنگ معمولاً توافق می‌کنند، اما همهٔ رنگ‌ها رفتار یکسان ندارند.,رنگ‌های مشتق از نام اشیا و رنگ‌های مرکب غالباً ثابت می‌مانند.,rose، mauve، violet(te)، châtain در کتاب به‌عنوان موارد توافق‌پذیر ذکر شده‌اند.,14,16,Lesson 2; printed p. 14,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
53cfbd91-411d-4bcb-b701-97c6c57e0ac1,L02-S04,734f4892-3926-439e-b274-85e9d824e225,2,L’ADJECTIF (1),Accord avec les pronoms sujets,توافق صفت با ضمیر فاعلی,صفت با جنس و شمار مرجعِ ضمیر فاعلی توافق می‌کند.,je/tu بر اساس جنس، vous بر اساس مفرد مؤدبانه یا جمع، و on بر اساس معنای مرجع تحلیل می‌شود.,on=Nous می‌تواند صفت جمع بگیرد؛ on=Tout le monde معمولاً مذکر مفرد.,16,18,Lesson 2; printed p. 16,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
7ca4d245-9960-48fb-b779-d85046b52961,L03-S01,3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),Négation simple « ne…pas »,نفی ساده,ne/n’ پیش از فعل و pas پس از فعل قرار می‌گیرد.,در نفی ساده، فعل صرف‌شده میان دو جزء نفی قرار می‌گیرد؛ ne پیش از واکه به n’ کوتاه می‌شود.,,18,20,Lesson 3; printed p. 18,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
e1392591-0f65-4287-8d6d-aeb9826b67a5,L03-S02,3dd22b4a-1072-4ca6-91c1-662829b94758,3,LA NÉGATION et L’INTERROGATION (1),Question simple,پرسش بله/خیر ساده,پرسش با آهنگ صعودی، est-ce que یا وارونگی ساخته می‌شود.,سه الگوی اصلی معرفی می‌شوند؛ آهنگ صعودی گفتاری‌تر و رایج‌تر، وارونگی رسمی‌تر است.,est-ce que ساختی روشن و پرکاربرد است.,18,20,Lesson 3; printed p. 18,uploaded_book_only,approved_project_translation_v1.0,stage1-v1.0
