schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B047-Q001,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,f02cdde5-524e-4d25-ae5c-c1c508cc5499,L11-S01,,CLOZE_SINGLE,Complétez au présent : « Vous ___ une carte d’identité. »,fr-FR,avons,ont,avez,as,fr-FR,C,"پاسخ درست گزینهٔ C یعنی «avez» است. در زمان حال، فعل «avoir» به صورت j’ai, tu as, il/elle/on a, nous avons, vous avez, ils/elles ont صرف می‌شود و انتخاب شکل فعل باید دقیقاً با فاعل هماهنگ باشد. فاعل «Vous» است؛ بنابراین شکل درستِ زمان حال «avez» است و جملهٔ کامل «Vous avez une carte d’identité» می‌شود.",گزینهٔ «avons» نادرست است، چون صرف «avoir» با فاعل جمله هماهنگ نیست. شکل مورد نیاز در این سؤال «avez» است؛ صرف زمان حالِ «avoir» باید با فاعل هماهنگ باشد.,گزینهٔ «ont» نادرست است، چون صرف «avoir» با فاعل جمله هماهنگ نیست. شکل مورد نیاز در این سؤال «avez» است؛ صرف زمان حالِ «avoir» باید با فاعل هماهنگ باشد.,این گزینه درست است؛ «avez» شکل صرفی «avoir» برای فاعل همین جمله است و با فاعل جمله در زمان حال تطابق کامل دارد.,گزینهٔ «as» نادرست است، چون صرف «avoir» با فاعل جمله هماهنگ نیست. شکل مورد نیاز در این سؤال «avez» است؛ صرف زمان حالِ «avoir» باید با فاعل هماهنگ باشد.,fr-FR,abb68123-fe43-5448-abef-932f96b84efa,93cb014a-ad34-53cb-b6cf-8107327fc554,,abb68123-fe43-5448-abef-932f96b84efa,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 48; PDF p. 50; Stage1 L11-S01,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q002,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,ba5c0ee7-791f-4e68-8eae-b280aa06fbd0,L11-S02,,CLOZE_SINGLE,"Pour indiquer l’âge, complétez : « Mon neveu ___ huit ans. »",fr-FR,est,a,as,ont,fr-FR,B,پاسخ درست گزینهٔ B یعنی «a» است. برای بیان سن در فرانسوی از ساخت «avoir + عدد + ans/mois» استفاده می‌شود؛ بنابراین سن عددی با «être» ساخته نمی‌شود، هرچند برای صفتی مثل «jeune» از «être» استفاده می‌کنیم. اینجا سنِ «mon neveu» بیان می‌شود. فاعل سوم‌شخص مفرد است، پس «avoir» به صورت «a» می‌آید: «Mon neveu a huit ans».,گزینهٔ «est» نادرست است. برای سن باید از «avoir» استفاده شود و شکل فعل نیز با فاعل هماهنگ باشد. پاسخ درست در این بافت «a» است، نه این گزینه.,این گزینه درست است؛ «a» سن را با «avoir» و شکل صرفی مناسب فاعل می‌سازد، نه با «être».,گزینهٔ «as» نادرست است. برای سن باید از «avoir» استفاده شود و شکل فعل نیز با فاعل هماهنگ باشد. پاسخ درست در این بافت «a» است، نه این گزینه.,گزینهٔ «ont» نادرست است. برای سن باید از «avoir» استفاده شود و شکل فعل نیز با فاعل هماهنگ باشد. پاسخ درست در این بافت «a» است، نه این گزینه.,fr-FR,bf0797a0-9895-50ea-84ec-149e42d29f97,,2ccc8b0a-1850-5685-b068-75ef50fa1b1c,c903f03c-3c18-5e77-ab69-7f709b10df72,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 48; PDF p. 50; Stage1 L11-S02,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q003,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,c0efa701-3565-4361-8c0a-725c466f0635,L11-S03,,CLOZE_SINGLE,"Après une longue marche, complétez : « Ils ___ très faim. »",fr-FR,sont,avons,a,ont,fr-FR,D,"پاسخ درست گزینهٔ D یعنی «ont» است. حالت‌هایی مانند faim, froid, chaud, soif, sommeil و peur و نیز نیازهایی مثل besoin de با «avoir» ساخته می‌شوند. این اسم‌ها در این ساخت معمولاً بدون article می‌آیند و شدت با «très» بیان می‌شود؛ با «besoin»، برای تأکید «vraiment besoin» به‌کار می‌رود. واژهٔ «faim» در الگوی «avoir faim» می‌آید و فاعل «Ils» جمع است؛ در نتیجه «ont» لازم است و «très faim» نیز شدت را به‌درستی بیان می‌کند.",گزینهٔ «sont» نادرست است، چون ساختِ احساس یا نیاز باید با «avoir» و شکل صرفی مناسب فاعل ساخته شود. پاسخ به‌درستی «ont» است.,گزینهٔ «avons» نادرست است، چون ساختِ احساس یا نیاز باید با «avoir» و شکل صرفی مناسب فاعل ساخته شود. پاسخ به‌درستی «ont» است.,گزینهٔ «a» نادرست است، چون ساختِ احساس یا نیاز باید با «avoir» و شکل صرفی مناسب فاعل ساخته شود. پاسخ به‌درستی «ont» است.,این گزینه درست است؛ «ont» ساخت احساس/نیاز را با «avoir» و شکل صرفی درست می‌سازد و با ساخت موردنظر هماهنگ است.,fr-FR,fc8236c0-2494-540f-a668-f91159a74391,ba69b7e5-f23a-5b38-9f7c-cfc94aedebef,1347d3f1-debd-5185-9c62-9ea91964fce9,,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 48; PDF p. 50; Stage1 L11-S03,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q004,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,224a9f05-eed1-4723-9c9b-c985ec49398e,L11-S04,,CLOZE_SINGLE,"Dans le schéma de description physique « avoir + article défini + partie du corps + adjectif », complétez : « Elle a ___ yeux verts. »",fr-FR,des,les,la,un,fr-FR,B,پاسخ درست گزینهٔ B یعنی «les» است. برای بیان ویژگی جسمانی با اسم جمع «yeux» و صفت پس از اسم، article معین جمع به‌کار می‌رود: «Elle a les yeux verts».,گزینهٔ «des» در این ساخت موردنظر نیست؛ برای ویژگی جسمانی «yeux verts» از article معین جمع «les» استفاده می‌شود.,این گزینه درست است؛ «les» هم فعل «avoir» و هم article یا تطابق لازم در توصیف جسمانی را به‌درستی به‌کار می‌برد.,گزینهٔ «la» با مدل توصیف جسمانی این سؤال سازگار نیست. باید هم «avoir» درست صرف شود و هم article/تطابق اسم و صفت رعایت شود؛ گزینهٔ درست «les» است.,گزینهٔ «un» با مدل توصیف جسمانی این سؤال سازگار نیست. باید هم «avoir» درست صرف شود و هم article/تطابق اسم و صفت رعایت شود؛ گزینهٔ درست «les» است.,fr-FR,58aede27-3c97-570c-b658-a2e17ac601cb,,a2f471de-c694-576a-bdf1-62a9248da772,98bbb9f3-40fa-5ac5-9105-d10a1c1a3a8f,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S04,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q005,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,b8c73313-81f9-459c-84cd-96f8df05f750,L11-S05,,CLOZE_SINGLE,Complétez la locution fixe : « Nous avons du mal ___ comprendre ce formulaire. »,fr-FR,à,de,pour,en,fr-FR,A,پاسخ درست گزینهٔ A یعنی «à» است. عبارت‌های ثابت با «avoir» حرف اضافهٔ خود را حفظ می‌کنند: «avoir le temps de»، «avoir l’intention de»، «avoir l’habitude de»، «avoir l’occasion de» و «avoir du mal à». حرف اضافه بخشی از خودِ ساخت است. ساخت مورد سنجش «avoir du mal à + infinitif» است؛ پس فقط «à» پیش از «comprendre» با عبارت ثابت «avoir» سازگار است.,این گزینه درست است؛ «à» حرف اضافه یا صرف لازم را در عبارت ثابت «avoir» حفظ می‌کند و ساخت را بدون تغییر کامل می‌سازد.,گزینهٔ «de» نادرست است، چون در عبارت ثابت مورد سؤال حرف اضافه یا صرف فعل قابل جایگزینی آزاد نیست. ساخت صحیح در این بافت به گزینهٔ «à» می‌رسد.,گزینهٔ «pour» نادرست است، چون در عبارت ثابت مورد سؤال حرف اضافه یا صرف فعل قابل جایگزینی آزاد نیست. ساخت صحیح در این بافت به گزینهٔ «à» می‌رسد.,گزینهٔ «en» نادرست است، چون در عبارت ثابت مورد سؤال حرف اضافه یا صرف فعل قابل جایگزینی آزاد نیست. ساخت صحیح در این بافت به گزینهٔ «à» می‌رسد.,fr-FR,,d4718199-04df-52ba-8f92-0f06b1c1b355,afbcbd96-9daa-5538-a465-9399e1f92a48,94f9acf1-6605-5221-880d-1eac731a773c,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S05,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q006,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,7d3f306f-3e56-4739-9aa5-957d40a0870b,L11-S06,,CLOZE_CONTEXT,"Au bureau, on demande : « Vous avez une imprimante ? » Répondez négativement : « Non, je n’___ imprimante. »",fr-FR,ai pas une,ai pas d’,ai pas de,ai une pas,fr-FR,B,"پاسخ درست گزینهٔ B یعنی «ai pas d’» است. در نفی معمول، article نامعین «un/une/des» به «de» تبدیل می‌شود و پیش از واکه به «d’» می‌رسد. در تصحیح تقابلی مانند «Pas une moto, un scooter» article نامعین می‌تواند حفظ شود؛ article معین «le/la/les» نیز در نفی حفظ می‌شود. این سؤال نفی معمولِ یک اسم نامعینِ آغازشده با واکه را می‌سنجد؛ بنابراین «de» به «d’» تبدیل می‌شود. پاسخِ انتخابی «ai pas d’» همین الگو را در جمله کامل می‌کند.",گزینهٔ «ai pas une» نادرست است. در نفی معمول، article نامعین نباید به صورت «un/une/des» حفظ شود؛ باید به «de/d’» تبدیل شود. پاسخ درست «ai pas d’» است و معنای مرجع اصلی را حفظ می‌کند.,این گزینه درست است؛ «ai pas d’» در نفی استاندارد «de» را پیش از واکه به «d’» تبدیل می‌کند و ساخت جمله را درست نگه می‌دارد.,گزینهٔ «ai pas de» نادرست است. اگرچه «de/d’» جزء قاعده است، این گزینه در صرف فعل، جایگاه اجزا یا الیژن با اسم بعدی خطا دارد. پاسخ درست «ai pas d’» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «ai une pas» نادرست است. ترتیب نفی، صرف فعل یا شکل «de/d’» با ساخت استاندارد سازگار نیست. پاسخ درست «ai pas d’» است و معنای مرجع اصلی را حفظ می‌کند.,fr-FR,7ca5785f-348f-510c-9695-f10372701e42,,6f94b587-856a-5a0f-b093-445db57c9f1b,75b60a31-3ec9-5b8d-937c-235d476f1d2f,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S06,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q007,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,7d3f306f-3e56-4739-9aa5-957d40a0870b,L11-S06,,CLOZE_CONTEXT,"On regarde la salle : « Il y a des plantes ? » — « Non, il n’y a ___ plantes. »",fr-FR,pas de,pas des,de pas,pas les,fr-FR,A,"پاسخ درست گزینهٔ A یعنی «pas de» است. در نفی معمول، article نامعین «un/une/des» به «de» تبدیل می‌شود و پیش از واکه به «d’» می‌رسد. در تصحیح تقابلی مانند «Pas une moto, un scooter» article نامعین می‌تواند حفظ شود؛ article معین «le/la/les» نیز در نفی حفظ می‌شود. گروه اسمی در حالت مثبت با «des» یا یک جمع نامعین آمده است؛ در نفی معمول باید به «de» تبدیل شود. گزینهٔ «pas de» این تبدیل را بدون تغییر مرجع انجام می‌دهد.",این گزینه درست است؛ «pas de» article نامعین را در نفی استاندارد به «de» تبدیل می‌کند و مرجع جمله را بدون معرفه‌کردن حفظ می‌کند.,گزینهٔ «pas des» نادرست است. اگرچه «de/d’» جزء قاعده است، این گزینه در صرف فعل، جایگاه اجزا یا الیژن با اسم بعدی خطا دارد. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «de pas» نادرست است. ترتیب نفی، صرف فعل یا شکل «de/d’» با ساخت استاندارد سازگار نیست. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «pas les» نادرست است. این گزینه مرجع را به حالت معرفه تغییر می‌دهد، در حالی که سؤال از یک اسم نامعین شروع شده است. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,fr-FR,,7ca5785f-348f-510c-9695-f10372701e42,75b60a31-3ec9-5b8d-937c-235d476f1d2f,6f94b587-856a-5a0f-b093-445db57c9f1b,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S06,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q008,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,7d3f306f-3e56-4739-9aa5-957d40a0870b,L11-S06,,CLOZE_CONTEXT,"Un voisin demande : « Tu as un garage ? » — « Non, je n’___ garage. »",fr-FR,ai pas un,as pas de,ai pas de,ai de pas,fr-FR,C,"پاسخ درست گزینهٔ C یعنی «ai pas de» است. در نفی معمول، article نامعین «un/une/des» به «de» تبدیل می‌شود و پیش از واکه به «d’» می‌رسد. در تصحیح تقابلی مانند «Pas une moto, un scooter» article نامعین می‌تواند حفظ شود؛ article معین «le/la/les» نیز در نفی حفظ می‌شود. اینجا هدف نفی معمولِ یک مرجع نامعین است، نه تصحیح و نه ارجاع به یک اسم مشخص. بنابراین «un/une» به «de» تبدیل می‌شود و گزینهٔ «ai pas de» درست است.",گزینهٔ «ai pas un» نادرست است. در نفی معمول، article نامعین نباید به صورت «un/une/des» حفظ شود؛ باید به «de/d’» تبدیل شود. پاسخ درست «ai pas de» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «as pas de» نادرست است. اگرچه «de/d’» جزء قاعده است، این گزینه در صرف فعل، جایگاه اجزا یا الیژن با اسم بعدی خطا دارد. پاسخ درست «ai pas de» است و معنای مرجع اصلی را حفظ می‌کند.,این گزینه درست است؛ «ai pas de» article نامعین را در نفی استاندارد به «de» تبدیل می‌کند و مرجع جمله را بدون معرفه‌کردن حفظ می‌کند.,گزینهٔ «ai de pas» نادرست است. ترتیب نفی، صرف فعل یا شکل «de/d’» با ساخت استاندارد سازگار نیست. پاسخ درست «ai pas de» است و معنای مرجع اصلی را حفظ می‌کند.,fr-FR,7ca5785f-348f-510c-9695-f10372701e42,75b60a31-3ec9-5b8d-937c-235d476f1d2f,,6f94b587-856a-5a0f-b093-445db57c9f1b,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S06,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q009,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,7d3f306f-3e56-4739-9aa5-957d40a0870b,L11-S06,,CLOZE_CONTEXT,"Mina possède une voiture mais aucune moto. Complétez : « Elle a une voiture, mais elle n’a ___ moto. »",fr-FR,pas une,pas de,de pas,pas la,fr-FR,B,"پاسخ درست گزینهٔ B یعنی «pas de» است. در نفی معمول، article نامعین «un/une/des» به «de» تبدیل می‌شود و پیش از واکه به «d’» می‌رسد. در تصحیح تقابلی مانند «Pas une moto, un scooter» article نامعین می‌تواند حفظ شود؛ article معین «le/la/les» نیز در نفی حفظ می‌شود. اینجا هدف نفی معمولِ یک مرجع نامعین است، نه تصحیح و نه ارجاع به یک اسم مشخص. بنابراین «un/une» به «de» تبدیل می‌شود و گزینهٔ «pas de» درست است.",گزینهٔ «pas une» نادرست است. در نفی معمول، article نامعین نباید به صورت «un/une/des» حفظ شود؛ باید به «de/d’» تبدیل شود. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,این گزینه درست است؛ «pas de» article نامعین را در نفی استاندارد به «de» تبدیل می‌کند و مرجع جمله را بدون معرفه‌کردن حفظ می‌کند.,گزینهٔ «de pas» نادرست است. ترتیب نفی، صرف فعل یا شکل «de/d’» با ساخت استاندارد سازگار نیست. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «pas la» نادرست است. این گزینه مرجع را به حالت معرفه تغییر می‌دهد، در حالی که سؤال از یک اسم نامعین شروع شده است. پاسخ درست «pas de» است و معنای مرجع اصلی را حفظ می‌کند.,fr-FR,7ca5785f-348f-510c-9695-f10372701e42,,75b60a31-3ec9-5b8d-937c-235d476f1d2f,6f94b587-856a-5a0f-b093-445db57c9f1b,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S06,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B047-Q010,1,a02fe5a3-8336-4749-8b93-f43d0a82948a,L11,7d3f306f-3e56-4739-9aa5-957d40a0870b,L11-S06,,CLOZE_CONTEXT,"Une enquête porte sur plusieurs voisins : « Vous avez des voisins bruyants ? » — « Non, nous n’___ voisins bruyants. »",fr-FR,avons pas des,avez pas de,avons pas de,avons de pas,fr-FR,C,"پاسخ درست گزینهٔ C یعنی «avons pas de» است. در نفی معمول، article نامعین «un/une/des» به «de» تبدیل می‌شود و پیش از واکه به «d’» می‌رسد. در تصحیح تقابلی مانند «Pas une moto, un scooter» article نامعین می‌تواند حفظ شود؛ article معین «le/la/les» نیز در نفی حفظ می‌شود. گروه اسمی در حالت مثبت با «des» یا یک جمع نامعین آمده است؛ در نفی معمول باید به «de» تبدیل شود. گزینهٔ «avons pas de» این تبدیل را بدون تغییر مرجع انجام می‌دهد.",گزینهٔ «avons pas des» نادرست است. اگرچه «de/d’» جزء قاعده است، این گزینه در صرف فعل، جایگاه اجزا یا الیژن با اسم بعدی خطا دارد. پاسخ درست «avons pas de» است و معنای مرجع اصلی را حفظ می‌کند.,گزینهٔ «avez pas de» نادرست است. اگرچه «de/d’» جزء قاعده است، این گزینه در صرف فعل، جایگاه اجزا یا الیژن با اسم بعدی خطا دارد. پاسخ درست «avons pas de» است و معنای مرجع اصلی را حفظ می‌کند.,این گزینه درست است؛ «avons pas de» article نامعین را در نفی استاندارد به «de» تبدیل می‌کند و مرجع جمله را بدون معرفه‌کردن حفظ می‌کند.,گزینهٔ «avons de pas» نادرست است. ترتیب نفی، صرف فعل یا شکل «de/d’» با ساخت استاندارد سازگار نیست. پاسخ درست «avons pas de» است و معنای مرجع اصلی را حفظ می‌کند.,fr-FR,7ca5785f-348f-510c-9695-f10372701e42,75b60a31-3ec9-5b8d-937c-235d476f1d2f,,6f94b587-856a-5a0f-b093-445db57c9f1b,MEDIUM,2.1,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 11; printed p. 50; PDF p. 52; Stage1 L11-S06,chatgpt-qb-runner-v1.0,,TAG001,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
