schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B211-Q001,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,1cb1de26-6a3e-4408-94fd-dfedde3f92f6,L47-S01,,CLOZE_SINGLE,"Dans le calendrier d’un projet, la météo annonce une hausse nette demain ; selon cette prévision, la température ___ jusqu’à 28 °C.",fr-FR,montera,montait,est montée,monte hier,fr-FR,A,قاعده: futur simple برای بیان پروژه‌های آینده و پیش‌بینی‌ها به‌کار می‌رود. نشانه‌هایی مثل «demain»، «dans cinq ans»، «plus tard» یا پرسش دربارهٔ برنامه‌های آینده، نقطهٔ مرجع را بعد از زمان حال قرار می‌دهند. در stem، نشانهٔ زمانی آینده مانند «demain» و واژهٔ «prévision» وجود دارد؛ بنابراین «montera» با futur simple همان پیش‌بینیِ هنوز رخ‌نداده را بیان می‌کند. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S01 «Usage du futur simple / کاربرد futur simple»، صفحه چاپی 224 (PDF 226).,در stem، نشانهٔ زمانی آینده مانند «demain» و واژهٔ «prévision» وجود دارد؛ بنابراین «montera» با futur simple همان پیش‌بینیِ هنوز رخ‌نداده را بیان می‌کند.,«montait» پاسخ مناسب نیست. این شکل به imparfait یا conditionnel نزدیک است و با آیندهٔ سادهٔ هدف هم‌زمان نیست. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,«est montée» پاسخ مناسب نیست. این گزینه رویداد را به گذشته می‌برد، در حالی که نشانه‌های سؤال چارچوب آینده را می‌سازند. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,«monte hier» پاسخ مناسب نیست. وجود «hier» با چارچوب آیندهٔ سؤال ناسازگار است و پاسخ را به گذشته می‌برد. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,fr-FR,,f4f8f1e5-6130-5078-acba-709b80ea3759,9f01c6c2-6abd-59d2-9d5f-7e80cf0c190a,3c9d9392-e9a8-5997-b145-76c05d06a893,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q002,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,530bcde1-b664-4451-9182-18926c79db11,L47-S02,,CLOZE_SINGLE,"Après l’annonce d’un changement, le calendrier est fixé : lundi prochain, nous ___ le chantier. (visiter)",fr-FR,visiteront,visiterons,visiteriez,visitions,fr-FR,B,"قاعده: در ساخت منظم futur simple، مصدر با پایان‌های -ai, -as, -a, -ons, -ez, -ont ترکیب می‌شود؛ برای مصدرهای پایان‌یافته به -e، آن e پایانی پیش از افزودن پایان حذف می‌شود. بنابراین شخص و شمار فاعل مستقیماً پایان درست را تعیین می‌کند. در این جمله فاعل «nous» است و futur simple منظم پایان -ons می‌گیرد؛ پس «visiterons» از «visiter» + «-ons» ساخته می‌شود. دام مهم این است که پایان‌های آینده را با شخص دیگری یا با conditionnel/imparfait مخلوط نکنیم؛ برای «nous» پایان -ons و برای «je» پایان -ai است. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S02 «Formation régulière / ساخت منظم futur simple»، صفحه چاپی 224 (PDF 226).",«visiteront» پاسخ مناسب نیست. پایان -ont برای ils/elles است. با فاعل «nous» باید -ons بیاید؛ بنابراین این صورت خطای تطابق شخص و پایان فعل دارد.,در این جمله فاعل «nous» است و futur simple منظم پایان -ons می‌گیرد؛ پس «visiterons» از «visiter» + «-ons» ساخته می‌شود.,«visiteriez» پاسخ مناسب نیست. این پایان متعلق به conditionnel است، نه futur simpleِ خواسته‌شده؛ ضمن اینکه با فاعلِ هدف هم باید پایان مناسب همان شخص حفظ شود.,«visitions» پاسخ مناسب نیست. این صورت imparfait است و زمان خواسته‌شده futur simple است.,fr-FR,8a0a5e77-9f34-512f-b30e-bd611ce4517b,,73cafa43-1ecb-5d54-b822-bfe46431c8b5,5c4c875d-ced1-5f9d-b7ce-06fa71861f37,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q003,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,da04d77f-6116-4177-9914-703954f7a988,L47-S03,,CLOZE_SINGLE,"Pour organiser la journée de demain, le suivi confirme que nous ___ le colis demain matin. (recevoir)",fr-FR,recevoirons,recevons,recevrons,recevrions,fr-FR,C,قاعده: در futur simple بعضی فعل‌ها ریشهٔ نامنظم دارند، اما پایان‌های شخصی همان پایان‌های معمول آینده‌اند. در این سؤال باید ریشهٔ ویژهٔ فعل را از شکل‌های ساختگی یا از زمان‌های دیگر جدا کرد. فعلِ هدف «recevoir» در futur simple ریشهٔ recevr- دارد؛ با افزودن پایان متناسب با فاعل، «recevrons» ساخته می‌شود و شکل‌های مبتنی بر مصدر کامل یا conditionnel پاسخ این سؤال نیستند. دام رایج این است که مصدر کامل را مستقیماً با پایان آینده ترکیب کنیم؛ در فعل‌های نامنظم ابتدا باید ریشهٔ ویژهٔ آینده را انتخاب کرد. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S03 «Radicaux irréguliers / ریشه‌های نامنظم futur»، صفحه چاپی 224 (PDF 226).,«recevoirons» پاسخ مناسب نیست. این شکل ریشهٔ آیندهٔ «recevoir» را نادرست ساخته است. طبق کتاب ریشهٔ هدف recevr- است و سپس پایان شخصی به آن افزوده می‌شود.,«recevons» پاسخ مناسب نیست. «recevons» présentِ nous است، نه futur simple؛ برای آینده با nous باید «recevrons» بیاید.,این گزینه درست است، چون فعلِ هدف «recevoir» در futur simple ریشهٔ recevr- دارد؛ با افزودن پایان متناسب با فاعل، «recevrons» ساخته می‌شود و شکل‌های مبتنی بر مصدر کامل یا conditionnel پاسخ این سؤال نیستند.,«recevrions» پاسخ مناسب نیست. ریشه به آینده نزدیک است، اما پایان -rions/-riez این صورت را conditionnel می‌کند؛ سؤال futur simple می‌خواهد.,fr-FR,e7349f2e-2f60-517b-988f-3047719ade98,ad17b443-1375-5cb9-b8a4-23e63bbf3b6f,,eff7cbd3-ac77-5194-84b7-fb4a141393b8,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q004,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,539e80d3-680c-4667-a442-e4d2341ab223,L47-S04,,CLOZE_SINGLE,"Au centre météo, on va recevoir de nouveaux ordinateurs ; grâce à eux, nous ___ traiter davantage de dossiers.",fr-FR,pourrions,pouvions,avons pu,pourrons,fr-FR,D,قاعده: کتاب میان دو گرایش تمایز می‌گذارد: futur proche معمولاً یک تغییرِ در راه را برجسته می‌کند، در حالی که futur simple می‌تواند برنامه‌ریزی یا پیامد آن تغییر را بیان کند. این تمایز یک الگوی کاربردی است و نباید آن را به ممنوعیت مطلق یکی از دو زمان تبدیل کرد. بخش اول جمله یک تغییر را با «on va…» اعلام می‌کند و بخش بعدی پیامد آن است؛ «pourrons» پیامد را با futur simple می‌آورد و با الگوی کتاب هماهنگ است. نکتهٔ مهم این است که کتاب این تقابل را با «en général / souvent» بیان می‌کند؛ پس توضیح نباید آن را قانون مطلق یا تنها ترتیب ممکن معرفی کند. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S04 «Futur proche: changement vs futur simple: programmation / تغییر در برابر برنامه‌ریزی»، صفحه چاپی 226 (PDF 228).,«pourrions» در این سؤال تمایزِ «تغییر در راه → پیامد یا برنامهٔ آینده» را به‌روشنی حفظ نمی‌کند؛ گزینهٔ صحیح پیامد را با futur simple بیان می‌کند.,«pouvions» پاسخ مناسب نیست. این شکل به imparfait یا conditionnel نزدیک است و با آیندهٔ سادهٔ هدف هم‌زمان نیست. در الگوی سؤال، پیامد باید futur simple باشد.,«avons pu» پاسخ مناسب نیست. این گزینه رویداد را به گذشته می‌برد، در حالی که نشانه‌های سؤال چارچوب آینده را می‌سازند. در الگوی سؤال، پیامد باید futur simple باشد.,این گزینه درست است، چون بخش اول جمله یک تغییر را با «on va…» اعلام می‌کند و بخش بعدی پیامد آن است؛ «pourrons» پیامد را با futur simple می‌آورد و با الگوی کتاب هماهنگ است.,fr-FR,fff2c381-8dfa-58d0-b7fb-89c1b099cfb1,5f61e79a-793e-5a6b-8aba-35e0fa373264,3e1a58c8-e397-5dd2-bae9-06c51e8dd732,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 226,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q005,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,0c9def43-b0f6-43b8-a640-30748984524f,L47-S07,,CLOZE_SINGLE,"Selon le suivi d’une livraison, si le train arrive à l’heure demain, nous ___ la correspondance.",fr-FR,prendrons,prenions,prendrions,avons pris,fr-FR,A,قاعده: در فرض آیندهٔ هدف این درس، الگو «si + présent → futur simple» است: بندِ شرط پس از «si» در présent می‌ماند و بندِ نتیجه پیامد آینده را با futur simple بیان می‌کند. کتاب همین الگو را با مثال‌های مربوط به هوا نشان می‌دهد. بندِ «si» شرط آینده را با présent بیان می‌کند و جای خالی در بندِ نتیجه است؛ بنابراین «prendrons» با futur simple پیامد آینده را کامل می‌کند. دام اصلی، آوردن futur simple بلافاصله بعد از «si» در بند شرط است؛ در الگوی این سؤال futur simple متعلق به بند نتیجه است. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S07 «Futur simple dans hypothèse future / futur در فرض آینده»، صفحه چاپی 226 (PDF 228).,بندِ «si» شرط آینده را با présent بیان می‌کند و جای خالی در بندِ نتیجه است؛ بنابراین «prendrons» با futur simple پیامد آینده را کامل می‌کند.,«prenions» با الگوی فرض آیندهٔ این سؤال سازگار نیست؛ شرط با présent و نتیجهٔ موردنظر با futur simple ساخته می‌شود.,«prendrions» پاسخ مناسب نیست. این صورت conditionnel است. سؤال فرض آیندهٔ «si + présent» را می‌سنجد که نتیجه‌اش در این درس futur simple است.,«avons pris» پاسخ مناسب نیست. این گزینه یکی از دو جزء الگوی «si + présent → futur simple» را نقض می‌کند.,fr-FR,,4c14dba5-469a-521e-9605-36382f76c734,355500a6-312f-505b-911d-48d7c3d67839,9bb58793-b232-5da8-9d6d-b53a01e6e4e8,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 226,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q006,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,1cb1de26-6a3e-4408-94fd-dfedde3f92f6,L47-S01,,CLOZE_CONTEXT,"Dans un plan conditionnel pour samedi, la météo annonce une hausse nette demain ; selon cette prévision, la température ___ jusqu’à 28 °C.",fr-FR,montait,montera,est montée,monte hier,fr-FR,B,قاعده: futur simple برای بیان پروژه‌های آینده و پیش‌بینی‌ها به‌کار می‌رود. نشانه‌هایی مثل «demain»، «dans cinq ans»، «plus tard» یا پرسش دربارهٔ برنامه‌های آینده، نقطهٔ مرجع را بعد از زمان حال قرار می‌دهند. در stem، نشانهٔ زمانی آینده مانند «demain» و واژهٔ «prévision» وجود دارد؛ بنابراین «montera» با futur simple همان پیش‌بینیِ هنوز رخ‌نداده را بیان می‌کند. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S01 «Usage du futur simple / کاربرد futur simple»، صفحه چاپی 224 (PDF 226).,«montait» پاسخ مناسب نیست. این شکل به imparfait یا conditionnel نزدیک است و با آیندهٔ سادهٔ هدف هم‌زمان نیست. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,در stem، نشانهٔ زمانی آینده مانند «demain» و واژهٔ «prévision» وجود دارد؛ بنابراین «montera» با futur simple همان پیش‌بینیِ هنوز رخ‌نداده را بیان می‌کند.,«est montée» پاسخ مناسب نیست. این گزینه رویداد را به گذشته می‌برد، در حالی که نشانه‌های سؤال چارچوب آینده را می‌سازند. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,«monte hier» پاسخ مناسب نیست. وجود «hier» با چارچوب آیندهٔ سؤال ناسازگار است و پاسخ را به گذشته می‌برد. برای پیش‌بینی یا پروژهٔ آینده، futur simple لازم است.,fr-FR,f4f8f1e5-6130-5078-acba-709b80ea3759,,9f01c6c2-6abd-59d2-9d5f-7e80cf0c190a,3c9d9392-e9a8-5997-b145-76c05d06a893,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q007,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,530bcde1-b664-4451-9182-18926c79db11,L47-S02,,CLOZE_CONTEXT,"Dans le calendrier d’un projet, le calendrier est fixé : lundi prochain, nous ___ le chantier. (visiter)",fr-FR,visiteront,visiteriez,visiterons,visitions,fr-FR,C,"قاعده: در ساخت منظم futur simple، مصدر با پایان‌های -ai, -as, -a, -ons, -ez, -ont ترکیب می‌شود؛ برای مصدرهای پایان‌یافته به -e، آن e پایانی پیش از افزودن پایان حذف می‌شود. بنابراین شخص و شمار فاعل مستقیماً پایان درست را تعیین می‌کند. در این جمله فاعل «nous» است و futur simple منظم پایان -ons می‌گیرد؛ پس «visiterons» از «visiter» + «-ons» ساخته می‌شود. دام مهم این است که پایان‌های آینده را با شخص دیگری یا با conditionnel/imparfait مخلوط نکنیم؛ برای «nous» پایان -ons و برای «je» پایان -ai است. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S02 «Formation régulière / ساخت منظم futur simple»، صفحه چاپی 224 (PDF 226).",«visiteront» پاسخ مناسب نیست. پایان -ont برای ils/elles است. با فاعل «nous» باید -ons بیاید؛ بنابراین این صورت خطای تطابق شخص و پایان فعل دارد.,«visiteriez» پاسخ مناسب نیست. این پایان متعلق به conditionnel است، نه futur simpleِ خواسته‌شده؛ ضمن اینکه با فاعلِ هدف هم باید پایان مناسب همان شخص حفظ شود.,در این جمله فاعل «nous» است و futur simple منظم پایان -ons می‌گیرد؛ پس «visiterons» از «visiter» + «-ons» ساخته می‌شود.,«visitions» پاسخ مناسب نیست. این صورت imparfait است و زمان خواسته‌شده futur simple است.,fr-FR,8a0a5e77-9f34-512f-b30e-bd611ce4517b,73cafa43-1ecb-5d54-b822-bfe46431c8b5,,5c4c875d-ced1-5f9d-b7ce-06fa71861f37,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q008,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,da04d77f-6116-4177-9914-703954f7a988,L47-S03,,CLOZE_CONTEXT,"Après l’annonce d’un changement, le suivi confirme que nous ___ le colis demain matin. (recevoir)",fr-FR,recevoirons,recevons,recevrions,recevrons,fr-FR,D,قاعده: در futur simple بعضی فعل‌ها ریشهٔ نامنظم دارند، اما پایان‌های شخصی همان پایان‌های معمول آینده‌اند. در این سؤال باید ریشهٔ ویژهٔ فعل را از شکل‌های ساختگی یا از زمان‌های دیگر جدا کرد. فعلِ هدف «recevoir» در futur simple ریشهٔ recevr- دارد؛ با افزودن پایان متناسب با فاعل، «recevrons» ساخته می‌شود و شکل‌های مبتنی بر مصدر کامل یا conditionnel پاسخ این سؤال نیستند. دام رایج این است که مصدر کامل را مستقیماً با پایان آینده ترکیب کنیم؛ در فعل‌های نامنظم ابتدا باید ریشهٔ ویژهٔ آینده را انتخاب کرد. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S03 «Radicaux irréguliers / ریشه‌های نامنظم futur»، صفحه چاپی 224 (PDF 226).,«recevoirons» پاسخ مناسب نیست. این شکل ریشهٔ آیندهٔ «recevoir» را نادرست ساخته است. طبق کتاب ریشهٔ هدف recevr- است و سپس پایان شخصی به آن افزوده می‌شود.,«recevons» پاسخ مناسب نیست. «recevons» présentِ nous است، نه futur simple؛ برای آینده با nous باید «recevrons» بیاید.,«recevrions» پاسخ مناسب نیست. ریشه به آینده نزدیک است، اما پایان -rions/-riez این صورت را conditionnel می‌کند؛ سؤال futur simple می‌خواهد.,این گزینه درست است، چون فعلِ هدف «recevoir» در futur simple ریشهٔ recevr- دارد؛ با افزودن پایان متناسب با فاعل، «recevrons» ساخته می‌شود و شکل‌های مبتنی بر مصدر کامل یا conditionnel پاسخ این سؤال نیستند.,fr-FR,e7349f2e-2f60-517b-988f-3047719ade98,ad17b443-1375-5cb9-b8a4-23e63bbf3b6f,eff7cbd3-ac77-5194-84b7-fb4a141393b8,,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 224,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q009,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,539e80d3-680c-4667-a442-e4d2341ab223,L47-S04,,CLOZE_CONTEXT,"Pour organiser la journée de demain, on va recevoir de nouveaux ordinateurs ; grâce à eux, nous ___ traiter davantage de dossiers.",fr-FR,pourrons,pourrions,pouvions,avons pu,fr-FR,A,قاعده: کتاب میان دو گرایش تمایز می‌گذارد: futur proche معمولاً یک تغییرِ در راه را برجسته می‌کند، در حالی که futur simple می‌تواند برنامه‌ریزی یا پیامد آن تغییر را بیان کند. این تمایز یک الگوی کاربردی است و نباید آن را به ممنوعیت مطلق یکی از دو زمان تبدیل کرد. بخش اول جمله یک تغییر را با «on va…» اعلام می‌کند و بخش بعدی پیامد آن است؛ «pourrons» پیامد را با futur simple می‌آورد و با الگوی کتاب هماهنگ است. نکتهٔ مهم این است که کتاب این تقابل را با «en général / souvent» بیان می‌کند؛ پس توضیح نباید آن را قانون مطلق یا تنها ترتیب ممکن معرفی کند. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S04 «Futur proche: changement vs futur simple: programmation / تغییر در برابر برنامه‌ریزی»، صفحه چاپی 226 (PDF 228).,این گزینه درست است، چون بخش اول جمله یک تغییر را با «on va…» اعلام می‌کند و بخش بعدی پیامد آن است؛ «pourrons» پیامد را با futur simple می‌آورد و با الگوی کتاب هماهنگ است.,«pourrions» در این سؤال تمایزِ «تغییر در راه → پیامد یا برنامهٔ آینده» را به‌روشنی حفظ نمی‌کند؛ گزینهٔ صحیح پیامد را با futur simple بیان می‌کند.,«pouvions» پاسخ مناسب نیست. این شکل به imparfait یا conditionnel نزدیک است و با آیندهٔ سادهٔ هدف هم‌زمان نیست. در الگوی سؤال، پیامد باید futur simple باشد.,«avons pu» پاسخ مناسب نیست. این گزینه رویداد را به گذشته می‌برد، در حالی که نشانه‌های سؤال چارچوب آینده را می‌سازند. در الگوی سؤال، پیامد باید futur simple باشد.,fr-FR,,fff2c381-8dfa-58d0-b7fb-89c1b099cfb1,5f61e79a-793e-5a6b-8aba-35e0fa373264,3e1a58c8-e397-5dd2-bae9-06c51e8dd732,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 226,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B211-Q010,1,9452d2bf-3b54-4cbe-9410-2a607d9d9903,L47,75612fed-7108-4cce-b4e2-8172ca8c618f,L47-S05,,CLOZE_CONTEXT,"Au centre météo, dans une notice écrite concise présentant le programme de demain, on écrira de préférence : « Vous ___ d’abord la salle A. »",fr-FR,allez visiter,visiterez,visitiez,avez visité hier,fr-FR,B,قاعده: کتاب یک گرایش سبکی معرفی می‌کند: futur proche در گفتار معمولاً پویاتر و ترجیحی است و futur simple در نوشتار غالباً فشرده‌تر و «اقتصادی‌تر» در واژه‌هاست. این تفاوت ترجیح register است، نه قانون منع مطلق. بافت stem یک متن/بروشورِ نوشتاریِ مختصر است؛ «visiterez» با futur simple همان ترجیح نوشتاریِ فشرده‌ای را اجرا می‌کند که کتاب در برابر futur proche گفتاری نشان می‌دهد. دام مهم، تبدیل یک ترجیح سبکی به حکم دستوریِ «تنها شکل ممکن» است؛ خود کتاب فقط از ترجیح گفتاری/نوشتاری سخن می‌گوید. منبع کتاب: درس 47 (L47) «LE FUTUR SIMPLE»، زیرموضوع L47-S05 «Oral vs écrit / گفتار و نوشتار»، صفحه چاپی 226 (PDF 228).,«allez visiter» می‌تواند در بافت‌های دیگری دستوری باشد، اما برای گرایش سبکیِ مورد سنجش در این سؤال بهترین انتخاب نیست.,این گزینه درست است، چون بافت stem یک متن/بروشورِ نوشتاریِ مختصر است؛ «visiterez» با futur simple همان ترجیح نوشتاریِ فشرده‌ای را اجرا می‌کند که کتاب در برابر futur proche گفتاری نشان می‌دهد.,«visitiez» پاسخ مناسب نیست. این شکل به imparfait یا conditionnel نزدیک است و با آیندهٔ سادهٔ هدف هم‌زمان نیست. افزون بر این، register خواسته‌شده در سؤال را هم پاسخ نمی‌دهد.,«avez visité hier» پاسخ مناسب نیست. این گزینه رویداد را به گذشته می‌برد، در حالی که نشانه‌های سؤال چارچوب آینده را می‌سازند. افزون بر این، register خواسته‌شده در سؤال را هم پاسخ نمی‌دهد.,fr-FR,49b722ed-5d9a-5c41-8e3b-736c35ab0b6b,,8172f9a5-0840-5173-954a-ff74ac1c62f7,8be1d258-d1c0-5cfa-b6fe-db34464f730d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 47; printed p. 226,chatgpt-qb-runner-v1.0,,TAG003|TAG010|TAG017|TAG025|TAG027,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
