schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B189-Q001,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,96d9a85d-33dd-475f-bf39-642155929505,L42-S01,,CLOZE_SINGLE,"Dans un communiqué municipal, pour mettre « le pont » au premier plan, complétez : « Le pont ___ en 1998. »",fr,a construit,a été construit,construisait,est construire,fr,B,Règle ciblée : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information. La réponse correcte est « a été construit ».,« a construit » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a été construit » est correct ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« construisait » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« est construire » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,fr,91476c92-9878-51a1-9134-f1a247fc0c0d,,d3756d14-3772-5ceb-9beb-3af321f2396d,14f85a67-6fa2-5823-b550-d1297a9a5509,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q002,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,123f377f-804d-4d67-8472-c6fb99312697,L42-S02,,CLOZE_SINGLE,"Dans un article scientifique, complétez : « Les invitations ___ par la mairie. »",fr,ont été envoyées,sont envoyer,étaient envoyé,ont envoyées,fr,A,"Règle ciblée : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel. La réponse correcte est « ont été envoyées ».","« ont été envoyées » est correct ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« sont envoyer » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« étaient envoyé » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« ont envoyées » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.",fr,,1ad5126e-1ff2-5c27-94fc-f80eba9632fb,fcd8862e-1156-5631-b343-c756ea111437,8abf85f2-dacc-550a-a05b-9ddc5fa9806c,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q003,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,e40d0f6e-10bc-4104-9005-bd27e544a5a3,L42-S03,,CLOZE_SINGLE,"Dans un rapport de sécurité, l’auteur ignore qui a volé le vélo. Choisissez : « Le vélo ___. »",fr,a été volé par lui,est voler,a volé quelqu’un,a été volé,fr,D,"Règle ciblée : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message. La réponse correcte est « a été volé ».","« a été volé par lui » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« est voler » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« a volé quelqu’un » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« a été volé » est correct ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.",fr,ecb1b83c-d47c-5516-8e0e-e86458a91e04,f3041001-4244-5d46-a2c0-0a69606fd877,1ea07bbe-afb8-535e-8a10-5b06cc535470,,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q004,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,96d9a85d-33dd-475f-bf39-642155929505,L42-S01,,CLOZE_SINGLE,"Pour cette occurrence, une équipe de traduction contrôle séparément le statut de l’agent, la voix et la construction du groupe verbal. Dans une annonce de musée, pour mettre « le pont » au premier plan, complétez : « Le pont ___ en 1998. »",fr,est construire,a construit,a été construit,construisait,fr,C,Règle ciblée : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information. La réponse correcte est « a été construit ».,« est construire » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a construit » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a été construit » est correct ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« construisait » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,fr,91476c92-9878-51a1-9134-f1a247fc0c0d,d3756d14-3772-5ceb-9beb-3af321f2396d,,14f85a67-6fa2-5823-b550-d1297a9a5509,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q005,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,123f377f-804d-4d67-8472-c6fb99312697,L42-S02,,CLOZE_SINGLE,"Dans cette situation pédagogique nouvelle, la décision doit reposer sur la règle ciblée et sur aucun indice lexical extérieur. Dans un compte rendu scolaire, complétez : « Les invitations ___ par la mairie. »",fr,ont envoyées,ont été envoyées,sont envoyer,étaient envoyé,fr,B,"Règle ciblée : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel. La réponse correcte est « ont été envoyées ».","« ont envoyées » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« ont été envoyées » est correct ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« sont envoyer » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« étaient envoyé » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.",fr,1ad5126e-1ff2-5c27-94fc-f80eba9632fb,,fcd8862e-1156-5631-b343-c756ea111437,8abf85f2-dacc-550a-a05b-9ddc5fa9806c,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q006,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,e40d0f6e-10bc-4104-9005-bd27e544a5a3,L42-S03,,CLOZE_SINGLE,"Dans ce dossier, le rédacteur doit choisir la formulation qui maintient exactement le rôle informationnel demandé, sans ajouter d’agent implicite. Dans une notice historique, l’auteur ignore qui a volé le vélo. Choisissez : « Le vélo ___. »",fr,a été volé,a été volé par lui,est voler,a volé quelqu’un,fr,A,"Règle ciblée : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message. La réponse correcte est « a été volé ».","« a été volé » est correct ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« a été volé par lui » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« est voler » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« a volé quelqu’un » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.",fr,,ecb1b83c-d47c-5516-8e0e-e86458a91e04,f3041001-4244-5d46-a2c0-0a69606fd877,1ea07bbe-afb8-535e-8a10-5b06cc535470,VERY_HARD,0.90,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q007,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,96d9a85d-33dd-475f-bf39-642155929505,L42-S01,,CLOZE_CONTEXT,Un bulletin de quartier insiste sur le résultat et non sur l’entreprise : « La nouvelle aile ___ l’an dernier. »,fr,inaugure,est inaugurant,a inauguré,a été inaugurée,fr,D,Règle ciblée : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information. La réponse correcte est « a été inaugurée ».,« inaugure » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« est inaugurant » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a inauguré » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a été inaugurée » est correct ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,fr,91476c92-9878-51a1-9134-f1a247fc0c0d,d3756d14-3772-5ceb-9beb-3af321f2396d,14f85a67-6fa2-5823-b550-d1297a9a5509,,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q008,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,123f377f-804d-4d67-8472-c6fb99312697,L42-S02,,CLOZE_CONTEXT,Une fiche technique parle d’un fait futur : « Les résultats ___ demain par le comité. »,fr,sont publier,publient,seront publiés,ont publié,fr,C,"Règle ciblée : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel. La réponse correcte est « seront publiés ».","« sont publier » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« publient » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« seront publiés » est correct ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.","« ont publié » est incorrect ici : la forme passive se construit avec « être » au temps requis + participe passé, avec un complément d’agent éventuel.",fr,1ad5126e-1ff2-5c27-94fc-f80eba9632fb,fcd8862e-1156-5631-b343-c756ea111437,,8abf85f2-dacc-550a-a05b-9ddc5fa9806c,HARD,0.70,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q009,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,e40d0f6e-10bc-4104-9005-bd27e544a5a3,L42-S03,,CLOZE_CONTEXT,"Un récit de voyage annonce seulement le résultat, sans connaître l’auteur : « Plusieurs fenêtres ___ pendant la nuit. »",fr,ont cassé quelqu’un,ont été cassées,ont été cassées par eux,sont casser,fr,B,"Règle ciblée : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message. La réponse correcte est « ont été cassées ».","« ont cassé quelqu’un » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« ont été cassées » est correct ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« ont été cassées par eux » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.","« sont casser » est incorrect ici : le complément d’agent peut être omis lorsque l’agent est inconnu, évident ou sans importance pour le message.",fr,ecb1b83c-d47c-5516-8e0e-e86458a91e04,,f3041001-4244-5d46-a2c0-0a69606fd877,1ea07bbe-afb8-535e-8a10-5b06cc535470,EASY,0.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
question-import-schema-v0.9.0,GMP-FULL-B189-Q010,1,79d5da54-9d06-473a-a60c-1c4cb74c38e1,L42,96d9a85d-33dd-475f-bf39-642155929505,L42-S01,,CLOZE_CONTEXT,"Dans cette situation pédagogique nouvelle, la décision doit reposer sur la règle ciblée et sur aucun indice lexical extérieur. Une note administrative insiste sur le résultat et non sur l’entreprise : « La nouvelle aile ___ l’an dernier. »",fr,a été inaugurée,inaugure,est inaugurant,a inauguré,fr,A,Règle ciblée : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information. La réponse correcte est « a été inaugurée ».,« a été inaugurée » est correct ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« inaugure » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« est inaugurant » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,« a inauguré » est incorrect ici : le passif met le patient / le résultat au premier plan lorsque l’agent n’est pas le centre de l’information.,fr,,91476c92-9878-51a1-9134-f1a247fc0c0d,d3756d14-3772-5ceb-9beb-3af321f2396d,14f85a67-6fa2-5823-b550-d1297a9a5509,MEDIUM,0.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 42; printed p. 204,chatgpt-qb-runner-v1.0,,TAG021|TAG004|TAG002|TAG003|TAG008,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v1.0
