schema_version,external_id,question_revision,lesson_id,lesson_code,subtopic_id,subtopic_code,secondary_subtopic_ids,question_type,stem,stem_locale,option_a,option_b,option_c,option_d,option_locale,correct_option,full_explanation,explanation_a,explanation_b,explanation_c,explanation_d,explanation_locale,misconception_a_id,misconception_b_id,misconception_c_id,misconception_d_id,difficulty,difficulty_score_initial,difficulty_model_version,status,source_type,source_ref,author_id,reviewer_id,tags,media_type,media_uri,media_alt_text,media_transcript,media_source_ref,taxonomy_version,question_type_catalogue_version,compatibility_version,distractor_rules_version,content_version
question-import-schema-v0.9.0,GMP-FULL-B203-Q001,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_SINGLE,Paul m’a dit hier qu’il ___ très fatigué.,fr-FR,était,est,sera,a été demain,fr-FR,A,"Après un verbe introducteur au passé, le présent rapporté devient normalement imparfait.","Correct. Après un verbe introducteur au passé, le présent rapporté devient normalement imparfait.","Incorrect : Après un verbe introducteur au passé, le présent rapporté devient normalement imparfait.","Incorrect : Après un verbe introducteur au passé, le présent rapporté devient normalement imparfait.","Incorrect : Après un verbe introducteur au passé, le présent rapporté devient normalement imparfait.",fr-FR,,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q002,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_SINGLE,Elle a expliqué qu’elle ___ son dossier la veille.,fr-FR,a terminé,avait terminé,terminait seulement maintenant,terminera,fr-FR,B,Un passé composé du discours direct devient normalement plus-que-parfait après un introducteur au passé.,Incorrect : Un passé composé du discours direct devient normalement plus-que-parfait après un introducteur au passé.,Correct. Un passé composé du discours direct devient normalement plus-que-parfait après un introducteur au passé.,Incorrect : Un passé composé du discours direct devient normalement plus-que-parfait après un introducteur au passé.,Incorrect : Un passé composé du discours direct devient normalement plus-que-parfait après un introducteur au passé.,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q003,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_SINGLE,Marc a annoncé qu’il ___ nous téléphoner le lendemain.,fr-FR,va,ira,allait,est allé,fr-FR,C,Le futur proche rapporté après un verbe au passé devient « aller » à l’imparfait + infinitif.,Incorrect : Le futur proche rapporté après un verbe au passé devient « aller » à l’imparfait + infinitif.,Incorrect : Le futur proche rapporté après un verbe au passé devient « aller » à l’imparfait + infinitif.,Correct. Le futur proche rapporté après un verbe au passé devient « aller » à l’imparfait + infinitif.,Incorrect : Le futur proche rapporté après un verbe au passé devient « aller » à l’imparfait + infinitif.,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q004,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_SINGLE,Le directeur a promis qu’il ___ une réponse avant vendredi.,fr-FR,donnera,donnait nécessairement,a donné,donnerait,fr-FR,D,Le futur simple devient normalement conditionnel dans le discours indirect au passé.,Incorrect : Le futur simple devient normalement conditionnel dans le discours indirect au passé.,Incorrect : Le futur simple devient normalement conditionnel dans le discours indirect au passé.,Incorrect : Le futur simple devient normalement conditionnel dans le discours indirect au passé.,Correct. Le futur simple devient normalement conditionnel dans le discours indirect au passé.,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q005,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,38d1a335-1b8c-4dd8-ab97-fdcf01efe719,L45-S03,,CLOZE_SINGLE,"Dans ce souvenir, on m’___ que la réunion était annulée.",fr-FR,a dit,disait toujours,dira,dit demain,fr-FR,A,Le livre présente « dire » comme souvent ponctuel au passé composé dans la principale.,Correct. Le livre présente « dire » comme souvent ponctuel au passé composé dans la principale.,Incorrect : Le livre présente « dire » comme souvent ponctuel au passé composé dans la principale.,Incorrect : Le livre présente « dire » comme souvent ponctuel au passé composé dans la principale.,Incorrect : Le livre présente « dire » comme souvent ponctuel au passé composé dans la principale.,fr-FR,,38eea159-e222-5efc-8b88-4252c05e9e3d,92ec01ff-e4ce-5f79-bf73-01f2c9ca0852,278a2dc3-43be-5571-85f1-784ba3fcc8f8,HARD,2.85,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q006,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,47140a4e-4054-4aa7-a022-d692da727d6a,L45-S04,,CLOZE_SINGLE,Le contrôle a confirmé que le service ___ toujours ouvert le samedi.,fr-FR,était obligatoirement,est,sera seulement hier,avait été nécessairement,fr-FR,B,"Pour un fait nouveau présenté comme encore valide, la concordance peut ne pas être appliquée.","Incorrect : Pour un fait nouveau présenté comme encore valide, la concordance peut ne pas être appliquée.","Correct. Pour un fait nouveau présenté comme encore valide, la concordance peut ne pas être appliquée.","Incorrect : Pour un fait nouveau présenté comme encore valide, la concordance peut ne pas être appliquée.","Incorrect : Pour un fait nouveau présenté comme encore valide, la concordance peut ne pas être appliquée.",fr-FR,16b0db53-9557-5a36-ac21-6dbced0b6635,,2ae51525-67d8-5bdb-8e1d-889bae265096,077c22b2-45a3-5dd8-9a37-bc5ecd08b6c5,VERY_HARD,3.55,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q007,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_CONTEXT,Direct : « Je suis malade. » Rapporté le soir même : Luc a dit qu’il ___.,fr-FR,est malade obligatoirement,sera malade,était malade,avait été malade la semaine suivante,fr-FR,C,Le présent « suis » recule normalement à l’imparfait après « a dit ».,Incorrect : Le présent « suis » recule normalement à l’imparfait après « a dit ».,Incorrect : Le présent « suis » recule normalement à l’imparfait après « a dit ».,Correct. Le présent « suis » recule normalement à l’imparfait après « a dit ».,Incorrect : Le présent « suis » recule normalement à l’imparfait après « a dit ».,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q008,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_CONTEXT,"Direct : « J’ai perdu mes clés. » Plus tard, Nora a expliqué qu’elle ___.",fr-FR,a perdu ses clés nécessairement,perdait ses clés demain,perdra ses clés,avait perdu ses clés,fr-FR,D,Le passé composé du message initial devient plus-que-parfait.,Incorrect : Le passé composé du message initial devient plus-que-parfait.,Incorrect : Le passé composé du message initial devient plus-que-parfait.,Incorrect : Le passé composé du message initial devient plus-que-parfait.,Correct. Le passé composé du message initial devient plus-que-parfait.,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,,EASY,1.45,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q009,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_CONTEXT,"Direct : « Je vais partir. » Le lendemain, Hugo a raconté qu’il ___.",fr-FR,allait partir,va partir,partira,était parti avant de parler,fr-FR,A,Le futur proche devient « allait + infinitif ».,Correct. Le futur proche devient « allait + infinitif ».,Incorrect : Le futur proche devient « allait + infinitif ».,Incorrect : Le futur proche devient « allait + infinitif ».,Incorrect : Le futur proche devient « allait + infinitif ».,fr-FR,,fc703209-7032-587e-ba21-ab8549794e45,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
question-import-schema-v0.9.0,GMP-FULL-B203-Q010,1,ea5e63b4-af5e-438a-b50c-a3d9678296b6,L45,2bb81df8-f2d0-4bde-9f45-6afa495e7ef1,L45-S01,,CLOZE_CONTEXT,Direct : « Je viendrai en mars. » Elle m’a dit qu’elle ___.,fr-FR,viendra en mars obligatoirement,viendrait en mars,venait en mars comme fait accompli,était venue en mars,fr-FR,B,Le futur simple devient conditionnel.,Incorrect : Le futur simple devient conditionnel.,Correct. Le futur simple devient conditionnel.,Incorrect : Le futur simple devient conditionnel.,Incorrect : Le futur simple devient conditionnel.,fr-FR,fc703209-7032-587e-ba21-ab8549794e45,,78189a6f-70e4-5640-8754-b55682b81f34,9464c527-fcf3-5e5a-b0dc-377aed14bd6d,MEDIUM,2.20,initial-difficulty-model-v0.9.0,DRAFT,PROJECT_SYNTHETIC_FROM_RULE,Lesson 45; printed p. 216,chatgpt-qb-runner-v1.0,,reported_speech;past;subordination,NONE,,,,,taxonomy-v0.9.0,question-type-catalogue-v0.9.0,question-type-compatibility-v0.9.0,distractor-rule-set-v0.9.0,stage1-v0.9
