catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,1545c438-1671-5ebf-a895-c868c729a056,8e8888f4-b536-46fb-8037-8ce18d0065ae,L04-S01,B017-B022,GMP-FULL-B017-Q001,42,L04-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « musicienesse » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « venderesse » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « directeur » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,29b3fbd5-16af-528a-b66b-e1335323af1d,8e8888f4-b536-46fb-8037-8ce18d0065ae,L04-S01,B017-B022,GMP-FULL-B017-Q001,42,L04-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « musicien » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « vendeur » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « directeuse » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,d3a31ab9-0550-5344-a94c-65f7ea0bc946,8e8888f4-b536-46fb-8037-8ce18d0065ae,L04-S01,B017-B022,GMP-FULL-B017-Q001,42,L04-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « musiciène » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « vendrice » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte. || Incorrect : « directeure » ne respecte pas la règle ciblée de « Genre des noms de personnes » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0ffce7fe-7408-5cbf-b5e0-286787aaa302,ecb6e1f4-bc7a-4c4c-9872-485edcf67183,L04-S02,B017-B022,GMP-FULL-B017-Q002,42,L04-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « les » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « du » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « Un » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1c2c384b-8ab6-5b65-b053-48baf21b7a98,ecb6e1f4-bc7a-4c4c-9872-485edcf67183,L04-S02,B017-B022,GMP-FULL-B017-Q002,42,L04-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « le » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « un » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « Le » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,6941922b-205f-5846-86a2-e88732f68a65,ecb6e1f4-bc7a-4c4c-9872-485edcf67183,L04-S02,B017-B022,GMP-FULL-B017-Q002,42,L04-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « l’ » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « le » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte. || Incorrect : « L’ » ne respecte pas la règle ciblée de « Genre des noms de choses » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,176c786b-b7c0-5138-b23f-6df99c4791f1,96319528-8f45-4bca-8b98-34eabd9eb01c,L04-S03,B017-B022,GMP-FULL-B017-Q003,42,L04-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « homme » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « homme ou femme » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « le genre biologique comme article » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,79a193e3-e650-5dc7-9592-1bc09a9d1841,96319528-8f45-4bca-8b98-34eabd9eb01c,L04-S03,B017-B022,GMP-FULL-B017-Q003,42,L04-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « garçon » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « monsieur ou madame » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « un article choisi au hasard » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,b1390a17-8670-5760-aa8d-820799a29bfa,96319528-8f45-4bca-8b98-34eabd9eb01c,L04-S03,B017-B022,GMP-FULL-B017-Q003,42,L04-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « masculin » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « masculin ou féminin » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte. || Incorrect : « toujours le masculin » ne respecte pas la règle ciblée de « Noms d’animaux » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,29ff0bc8-1a2d-59a0-a235-507319b7571e,83867945-86de-4da1-a42b-8e80caccc1a9,L04-S04,B017-B022,GMP-FULL-B017-Q004,42,L04-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « journalx » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte. || Incorrect : « festivalx » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte. || Incorrect : « des journalx » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,a4d5dba6-31c0-57ee-a9f9-c7c869fd8de6,83867945-86de-4da1-a42b-8e80caccc1a9,L04-S04,B017-B022,GMP-FULL-B017-Q004,42,L04-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L04-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B017–B022 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : « journals » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte. || Incorrect : « festivaux » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte. || Incorrect : « des journals » ne respecte pas la règle ciblée de « Pluriel des noms » dans ce contexte.,Question Bank B017-B022 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
