catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,1f06908d-ebb1-5dcd-8a12-aa23c5dea3ae,0ab52be9-3159-469a-81f1-4edec55f47a1,L22-S01,B096-B099,GMP-FULL-B096-Q001,37,L22-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option ne respecte pas la construction du comparatif de qualité « plus/moins/aussi + adjectif ou adverbe + que » exigée par le contexte. || نادرست است؛ این گزینه ساخت مقایسهٔ کیفیت با plus/moins/aussi و que را مطابق بافت رعایت نمی‌کند. || Incorrect : cette option ne respecte pas la structure du comparatif de qualité « plus/aussi/moins + adjectif ou adverbe + que ».,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,aa99942f-c510-5ae8-8c1e-d7568a34468f,0ab52be9-3159-469a-81f1-4edec55f47a1,L22-S01,B096-B099,GMP-FULL-B096-Q001,37,L22-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option ne respecte pas la construction du comparatif de qualité « plus/moins/aussi + adjectif ou adverbe + que » exigée par le contexte. || نادرست است؛ این گزینه ساخت مقایسهٔ کیفیت با plus/moins/aussi و que را مطابق بافت رعایت نمی‌کند. || Incorrect : cette option ne respecte pas la structure du comparatif de qualité « plus/aussi/moins + adjectif ou adverbe + que ».,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e503703d-4836-55ca-9e51-d6ef237415a9,0ab52be9-3159-469a-81f1-4edec55f47a1,L22-S01,B096-B099,GMP-FULL-B096-Q001,37,L22-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option ne respecte pas la construction du comparatif de qualité « plus/moins/aussi + adjectif ou adverbe + que » exigée par le contexte. || نادرست است؛ این گزینه ساخت مقایسهٔ کیفیت با plus/moins/aussi و que را مطابق بافت رعایت نمی‌کند. || Incorrect : cette option ne respecte pas la structure du comparatif de qualité « plus/aussi/moins + adjectif ou adverbe + que ».,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,51a46fee-3ea6-5371-9138-982f5c51800b,558004ad-110c-443c-80f4-f203de1e60ac,L22-S02,B096-B099,GMP-FULL-B096-Q002,36,L22-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option confond la comparaison de quantité avec une autre structure; devant un nom on attend « plus/autant/moins de », et avec un verbe « plus/autant/moins ... que ». || نادرست است؛ این گزینه ساخت مقایسهٔ کمیت را با ساخت دیگری اشتباه می‌گیرد؛ با اسم plus/autant/moins de و با فعل plus/autant/moins ... que لازم است. || Incorrect : cette option confond la comparaison de quantité devant un nom avec celle qui porte sur un verbe.",Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,75efa3bd-9368-52c4-bbdf-9cfd2745ac43,558004ad-110c-443c-80f4-f203de1e60ac,L22-S02,B096-B099,GMP-FULL-B096-Q002,36,L22-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option confond la comparaison de quantité avec une autre structure; devant un nom on attend « plus/autant/moins de », et avec un verbe « plus/autant/moins ... que ». || نادرست است؛ این گزینه ساخت مقایسهٔ کمیت را با ساخت دیگری اشتباه می‌گیرد؛ با اسم plus/autant/moins de و با فعل plus/autant/moins ... que لازم است. || Incorrect : cette option confond la comparaison de quantité devant un nom avec celle qui porte sur un verbe.",Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,96196f83-b180-5ccd-aa77-bd70835858f2,558004ad-110c-443c-80f4-f203de1e60ac,L22-S02,B096-B099,GMP-FULL-B096-Q002,36,L22-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option confond la comparaison de quantité avec une autre structure; devant un nom on attend « plus/autant/moins de », et avec un verbe « plus/autant/moins ... que ». || نادرست است؛ این گزینه ساخت مقایسهٔ کمیت را با ساخت دیگری اشتباه می‌گیرد؛ با اسم plus/autant/moins de و با فعل plus/autant/moins ... que لازم است. || Incorrect : cette option confond la comparaison de quantité devant un nom avec celle qui porte sur un verbe.",Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,77a2316f-6474-5f01-abdf-279165b5eaaa,5e3c38ea-1fa3-44ac-a8a9-d9371584e59f,L22-S03,B096-B099,GMP-FULL-B096-Q003,36,L22-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option confond la ressemblance exprimée par « comme » avec une comparaison de degré ou de quantité. || نادرست است؛ این گزینه شباهت با comme را با مقایسهٔ درجه یا مقدار اشتباه می‌گیرد.,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,965b6436-deec-50ed-b91a-8521d0d21880,5e3c38ea-1fa3-44ac-a8a9-d9371584e59f,L22-S03,B096-B099,GMP-FULL-B096-Q003,36,L22-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option confond la ressemblance exprimée par « comme » avec une comparaison de degré ou de quantité. || نادرست است؛ این گزینه شباهت با comme را با مقایسهٔ درجه یا مقدار اشتباه می‌گیرد.,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,cb748c37-16aa-58fa-bdc7-744adaf2a473,5e3c38ea-1fa3-44ac-a8a9-d9371584e59f,L22-S03,B096-B099,GMP-FULL-B096-Q003,36,L22-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : cette option confond la ressemblance exprimée par « comme » avec une comparaison de degré ou de quantité. || نادرست است؛ این گزینه شباهت با comme را با مقایسهٔ درجه یا مقدار اشتباه می‌گیرد.,Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,14268f87-9804-59b2-a4eb-eaf53e5125cf,c446cd47-6800-408e-bdf8-78cb2c529870,L22-S04,B096-B099,GMP-FULL-B096-Q004,36,L22-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L22-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B096–B099 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option ne respecte pas la structure du superlatif avec article défini, accord de l’adjectif ou groupe de référence. || نادرست است؛ این گزینه ساخت درجهٔ عالی با حرف تعریف معین، توافق صفت یا گروه مرجع را درست رعایت نمی‌کند. || نادرست: این گزینه ساخت یا تطابق superlatif و گروه مرجع آن را رعایت نمی‌کند.",Question Bank B096-B099 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
