catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,80f7d338-6399-5d9c-aa37-44b1eb37c869,d74d7c3e-9a72-4491-a758-a4247310b6f9,L24-S01,B105-B108,GMP-FULL-B105-Q001,48,L24-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست.,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,dc559f43-245a-5437-93a8-d873cf96fcb5,d74d7c3e-9a72-4491-a758-a4247310b6f9,L24-S01,B105-B108,GMP-FULL-B105-Q001,48,L24-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست.,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fdbae9e1-8738-5c90-8ece-eadb670de7e7,d74d7c3e-9a72-4491-a758-a4247310b6f9,L24-S01,B105-B108,GMP-FULL-B105-Q001,48,L24-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست.,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1b3e9d59-0b9f-5a8f-9309-daf8c224a3eb,e89d41ea-ec9e-4647-9ddc-d1e1def897fb,L24-S02,B105-B108,GMP-FULL-B105-Q002,48,L24-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. L’option confond la reprise de « à + chose » avec la construction de « à + personne » après « penser à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1e61a610-bc66-555b-9e1c-1a198278c795,e89d41ea-ec9e-4647-9ddc-d1e1def897fb,L24-S02,B105-B108,GMP-FULL-B105-Q002,48,L24-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. L’option confond la reprise de « à + chose » avec la construction de « à + personne » après « penser à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,b82b6cd0-d05b-577c-b566-2318e46262a4,e89d41ea-ec9e-4647-9ddc-d1e1def897fb,L24-S02,B105-B108,GMP-FULL-B105-Q002,48,L24-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. L’option confond la reprise de « à + chose » avec la construction de « à + personne » après « penser à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,94bc5d72-775c-5d1d-948e-e06b8cab62e6,60e31850-bea1-4205-ae5e-b2744e1e5164,L24-S03,B105-B108,GMP-FULL-B105-Q003,47,L24-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. Cette option mélange le pronom tonique requis après « s’intéresser à » avec le pronom complément indirect de « répondre à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,c47fdae3-0f36-57da-b155-e11731434586,60e31850-bea1-4205-ae5e-b2744e1e5164,L24-S03,B105-B108,GMP-FULL-B105-Q003,47,L24-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. Cette option mélange le pronom tonique requis après « s’intéresser à » avec le pronom complément indirect de « répondre à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,dda357ba-8221-5524-9952-ff8264c96e18,60e31850-bea1-4205-ae5e-b2744e1e5164,L24-S03,B105-B108,GMP-FULL-B105-Q003,47,L24-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست. || Incorrect. Cette option mélange le pronom tonique requis après « s’intéresser à » avec le pronom complément indirect de « répondre à ».,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,08645d4e-e3e0-55e8-8d77-756596c6b438,fce5c8b2-31b5-42ee-81ac-e1624d60de14,L24-S04,B105-B108,GMP-FULL-B105-Q004,47,L24-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست.,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,3932b123-5c87-5e5b-9def-4b6f743f9cad,fce5c8b2-31b5-42ee-81ac-e1624d60de14,L24-S04,B105-B108,GMP-FULL-B105-Q004,47,L24-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L24-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B105–B108 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Ce choix ne respecte pas la règle ciblée de la leçon. || این گزینه با قاعدهٔ هدف درس سازگار نیست.,Question Bank B105-B108 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
