catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,3070c9dc-37b3-56dc-9445-6bd8f7b1f3ba,0101b1a8-f101-4115-815c-7bdfbe9d4724,L36-S01,B161-B164,GMP-FULL-B161-Q001,34,L36-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,d75e3544-f694-5a49-bad2-827571a45c44,0101b1a8-f101-4115-815c-7bdfbe9d4724,L36-S01,B161-B164,GMP-FULL-B161-Q001,34,L36-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ddeb5b32-e615-53ef-b116-aebce29aa76a,0101b1a8-f101-4115-815c-7bdfbe9d4724,L36-S01,B161-B164,GMP-FULL-B161-Q001,34,L36-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,156e359b-6dc7-5139-b3b7-361481de40ca,2beef77a-52c1-4a4b-bf74-c4ca4c0e9e7c,L36-S02,B161-B164,GMP-FULL-B161-Q011,34,L36-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,5bbc4b08-beb7-5fec-a2fe-9ccfbee8a875,2beef77a-52c1-4a4b-bf74-c4ca4c0e9e7c,L36-S02,B161-B164,GMP-FULL-B161-Q011,34,L36-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,885e5587-b437-552f-8ff1-f090f651c6b8,2beef77a-52c1-4a4b-bf74-c4ca4c0e9e7c,L36-S02,B161-B164,GMP-FULL-B161-Q011,34,L36-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,36a19b37-d4e7-530f-aff9-cf560c340193,0872e52e-4616-40ca-be70-3ea1a66b9ffc,L36-S03,B161-B164,GMP-FULL-B161-Q021,34,L36-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8e930b61-8e22-555f-a447-8d7e1f19dcf1,0872e52e-4616-40ca-be70-3ea1a66b9ffc,L36-S03,B161-B164,GMP-FULL-B161-Q021,34,L36-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,b27dc502-cc07-5fa2-bfec-99c56fb18f58,0872e52e-4616-40ca-be70-3ea1a66b9ffc,L36-S03,B161-B164,GMP-FULL-B161-Q021,34,L36-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1b8ff017-190c-5643-b5d9-ddf8b1f00756,f653a449-7284-4257-ac7f-04db5b5502c2,L36-S04,B161-B164,GMP-FULL-B161-Q031,34,L36-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fd772c62-e064-5a2b-9b2d-be3f4d309bd1,f653a449-7284-4257-ac7f-04db5b5502c2,L36-S04,B161-B164,GMP-FULL-B161-Q031,34,L36-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L36-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B161–B164 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,این گزینه با قاعدهٔ هدف این زیرموضوع سازگار نیست. || این گزینه با قاعده یا نقش دستوری هدف در این بافت سازگار نیست. || این گزینه با قاعده، ساخت یا نقش دستوری هدف در این بافت سازگار نیست.,Question Bank B161-B164 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
