catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,7de917b6-8caa-5b02-be12-59f842ae0eda,ad40bfa1-3c4c-45e6-a013-9e075058b382,L19-S01,B083-B087,GMP-FULL-B083-Q001,34,L19-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Pour une quantité indéterminée d’un nom masculin singulier, on emploie le partitif « du » : « boire du café ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de l’ ». Devant un nom commençant par une voyelle et pour une quantité indéterminée, le partitif est « de l’ ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». L’article défini « le » présente le lait en général ; pour une quantité consommée, on passe au partitif « du ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,a137c40e-13ee-528b-8e6f-db42ea5563fc,ad40bfa1-3c4c-45e6-a013-9e075058b382,L19-S01,B083-B087,GMP-FULL-B083-Q001,34,L19-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Pour une quantité indéterminée d’un nom masculin singulier, on emploie le partitif « du » : « boire du café ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de l’ ». Devant un nom commençant par une voyelle et pour une quantité indéterminée, le partitif est « de l’ ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». L’article défini « le » présente le lait en général ; pour une quantité consommée, on passe au partitif « du ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e7c6bb02-4767-54f8-8c2b-6335c798fda8,ad40bfa1-3c4c-45e6-a013-9e075058b382,L19-S01,B083-B087,GMP-FULL-B083-Q001,34,L19-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Pour une quantité indéterminée d’un nom masculin singulier, on emploie le partitif « du » : « boire du café ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de l’ ». Devant un nom commençant par une voyelle et pour une quantité indéterminée, le partitif est « de l’ ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». L’article défini « le » présente le lait en général ; pour une quantité consommée, on passe au partitif « du ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2c3d8000-9064-5b2f-adc4-3505c06a6005,7f685463-b199-4b30-96de-42dfd32feced,L19-S02,B083-B087,GMP-FULL-B083-Q002,34,L19-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». « De + les » se contracte obligatoirement en « des » : « parler des voisins ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Le complément correspond à « de + les bureaux » ; la contraction correcte est « des bureaux ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Avec « parler de » et le groupe défini pluriel « les tomates qu’elle a mises... », « de + les » se contracte en « des ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,69fd52a4-d581-5801-896e-535f7752cec0,7f685463-b199-4b30-96de-42dfd32feced,L19-S02,B083-B087,GMP-FULL-B083-Q002,34,L19-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». « De + les » se contracte obligatoirement en « des » : « parler des voisins ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Le complément correspond à « de + les bureaux » ; la contraction correcte est « des bureaux ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Avec « parler de » et le groupe défini pluriel « les tomates qu’elle a mises... », « de + les » se contracte en « des ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,b68343d5-b60d-555f-b1d0-ec9b58667709,7f685463-b199-4b30-96de-42dfd32feced,L19-S02,B083-B087,GMP-FULL-B083-Q002,34,L19-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». « De + les » se contracte obligatoirement en « des » : « parler des voisins ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Le complément correspond à « de + les bureaux » ; la contraction correcte est « des bureaux ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « des ». Avec « parler de » et le groupe défini pluriel « les tomates qu’elle a mises... », « de + les » se contracte en « des ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0dcb8e0d-1df0-502e-b646-38b28b54a5d6,123a04f1-09f8-45d6-b6ab-34fcc0b7b778,L19-S03,B083-B087,GMP-FULL-B083-Q003,34,L19-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « beaucoup », la quantité est exprimée : on emploie « de » devant « patience ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après une quantité précise (« deux kilos »), on emploie « de » : « deux kilos de pommes ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « moins » employé comme expression de quantité, on utilise « de » : « moins de sucre ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,15319091-1d23-56e9-8211-47e713b1d84d,123a04f1-09f8-45d6-b6ab-34fcc0b7b778,L19-S03,B083-B087,GMP-FULL-B083-Q003,34,L19-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « beaucoup », la quantité est exprimée : on emploie « de » devant « patience ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après une quantité précise (« deux kilos »), on emploie « de » : « deux kilos de pommes ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « moins » employé comme expression de quantité, on utilise « de » : « moins de sucre ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,65c96162-1db3-5193-b29a-17628f0fa59b,123a04f1-09f8-45d6-b6ab-34fcc0b7b778,L19-S03,B083-B087,GMP-FULL-B083-Q003,34,L19-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « beaucoup », la quantité est exprimée : on emploie « de » devant « patience ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après une quantité précise (« deux kilos »), on emploie « de » : « deux kilos de pommes ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Après « moins » employé comme expression de quantité, on utilise « de » : « moins de sucre ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,191f6245-5c16-5268-b19f-c60b3e6b72e6,0cefe77c-491e-4176-b539-4fc913604c14,L19-S04,B083-B087,GMP-FULL-B083-Q004,34,L19-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L19-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B083–B087 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». Avec une négation de quantité zéro, le partitif devient « de » : « ne jamais manger de viande ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « de ». « Ne ... plus » exprime ici une quantité zéro ; le partitif est remplacé par « de ». || Cette option ne respecte pas la règle ciblée. La réponse attendue est « du ». Dans cette opposition après « être », le partitif est conservé : « ce n’est pas du miel, c’est de la confiture ».",Question Bank B083-B087 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
