catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,05d591bb-0fd1-5a07-a8fa-066fb8ca369b,3a53e567-a0aa-4b47-b5c0-140edfcdb238,L14-S01,B060-B063,GMP-FULL-B060-Q001,34,L14-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2ee9ca60-47b5-5a9c-a07b-842e00b6e5a1,3a53e567-a0aa-4b47-b5c0-140edfcdb238,L14-S01,B060-B063,GMP-FULL-B060-Q001,34,L14-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,92ac493a-7820-5665-9e64-9c572ada2356,3a53e567-a0aa-4b47-b5c0-140edfcdb238,L14-S01,B060-B063,GMP-FULL-B060-Q001,34,L14-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1c938276-8410-5a0f-baf1-a4a79e354418,041d6a68-b771-495e-be00-aa78da960caf,L14-S02,B060-B063,GMP-FULL-B060-Q002,33,L14-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,5d3ded53-b5de-51c7-b49f-6fa2cde9fca7,041d6a68-b771-495e-be00-aa78da960caf,L14-S02,B060-B063,GMP-FULL-B060-Q002,33,L14-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,e44a137d-1565-5cd7-b4aa-6a054c38aa2d,041d6a68-b771-495e-be00-aa78da960caf,L14-S02,B060-B063,GMP-FULL-B060-Q002,33,L14-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1a219eea-8f49-54fd-a0be-f20030ce7135,89db4db8-781c-4c94-a018-5868fbe52c15,L14-S03,B060-B063,GMP-FULL-B060-Q003,33,L14-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme qui relève d’un autre contexte ou d’un autre rôle. || این گزینه قاعده‌ای را که در بافت دیگری درست است به این بافت منتقل می‌کند.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,724ec539-3e60-5bbe-81a3-bf3433320498,89db4db8-781c-4c94-a018-5868fbe52c15,L14-S03,B060-B063,GMP-FULL-B060-Q003,33,L14-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,83fde206-cdef-5bca-8be8-fab4e1037563,89db4db8-781c-4c94-a018-5868fbe52c15,L14-S03,B060-B063,GMP-FULL-B060-Q003,33,L14-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,65d5f6d4-a74c-50dd-9a2e-b20cf245675d,3f4cb2bd-51ff-42cd-b847-02fa0d06ff8c,L14-S04,B060-B063,GMP-FULL-B060-Q004,33,L14-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise une règle ou une forme au-delà du contexte demandé. || این گزینه قاعده یا صورت را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,c8776509-f373-5e07-8fad-88f5d519dfe3,3f4cb2bd-51ff-42cd-b847-02fa0d06ff8c,L14-S04,B060-B063,GMP-FULL-B060-Q004,33,L14-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L14-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B060–B063 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B060-B063 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
