catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,546eb6de-e2c6-582c-9862-df321c1512dc,fc2d656b-5616-4b7a-944d-dafc63a02983,L06-S01,B028-B031,GMP-FULL-B028-Q001,7,L06-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,c741c8f5-1b5c-5bcc-aa67-7e52526ceb6e,fc2d656b-5616-4b7a-944d-dafc63a02983,L06-S01,B028-B031,GMP-FULL-B028-Q001,28,L06-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : cette forme ne correspond pas à la personne du possesseur et/ou au nombre du nom possédé dans ce contexte. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,d489ebe0-f867-5c2c-b94c-421d67e5ff3f,fc2d656b-5616-4b7a-944d-dafc63a02983,L06-S01,B028-B031,GMP-FULL-B028-Q001,28,L06-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : cette forme ne correspond pas à la personne du possesseur et/ou au nombre du nom possédé dans ce contexte. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0af11383-6a89-5031-9b8a-4227e266378e,17ec231c-3ac8-4ecc-b28d-37c5b9c72b48,L06-S02,B028-B031,GMP-FULL-B028-Q002,30,L06-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : la forme choisie ne respecte pas la règle du possessif devant une voyelle ou un h muet dans ce contexte. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,3baee9f5-90e8-561d-a1c0-d10d8518d7d7,17ec231c-3ac8-4ecc-b28d-37c5b9c72b48,L06-S02,B028-B031,GMP-FULL-B028-Q002,30,L06-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : la forme choisie ne respecte pas la règle du possessif devant une voyelle ou un h muet dans ce contexte. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ba1029d1-6cee-5919-9673-7a9904e80280,17ec231c-3ac8-4ecc-b28d-37c5b9c72b48,L06-S02,B028-B031,GMP-FULL-B028-Q002,30,L06-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : la forme choisie ne respecte pas la règle du possessif devant une voyelle ou un h muet dans ce contexte. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,262a1e69-1277-5326-b192-e258e60cd8f5,d3e94c6e-66c3-4af9-b067-c84d7c7558ef,L06-S03,B028-B031,GMP-FULL-B028-Q003,29,L06-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : le possesseur est déjà identifiable ; cette option ne respecte pas l’emploi attendu de l’article défini avec la partie du corps. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,3fe9a582-a8da-5c33-87d1-cc1cbcfd192c,d3e94c6e-66c3-4af9-b067-c84d7c7558ef,L06-S03,B028-B031,GMP-FULL-B028-Q003,29,L06-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : le possesseur est déjà identifiable ; cette option ne respecte pas l’emploi attendu de l’article défini avec la partie du corps. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,709bc405-162e-52b8-8e06-7eb3d590b290,d3e94c6e-66c3-4af9-b067-c84d7c7558ef,L06-S03,B028-B031,GMP-FULL-B028-Q003,29,L06-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : le possesseur est déjà identifiable ; cette option ne respecte pas l’emploi attendu de l’article défini avec la partie du corps. || Cette phrase est correcte dans le contexte donné ; elle n’est donc pas la phrase incorrecte recherchée.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0234ab97-1bc6-5e8c-b407-091f1266e237,d47a4036-ec23-4651-b55d-2aaf47072e47,L06-S04,B028-B031,GMP-FULL-B028-Q004,74,L06-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L06-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B028–B031 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : cette option représente une confusion plausible de forme, d’accord ou de référence, mais elle ne satisfait pas la règle dans ce contexte. || Incorrect : la forme n’est pas le pronom possessif qui correspond au possesseur et au genre/nombre du nom remplacé. || Incorrect : cette forme ne respecte pas la fonction adjectif/pronom ou le possesseur et le genre/nombre du nom remplacé.",Question Bank B028-B031 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
