catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,6faa0830-f9f3-52d5-af36-8f13ad2ff6c8,e4b502e3-1e86-437b-9f13-5489dedacd88,L15-S01,B064-B067,GMP-FULL-B064-Q001,35,L15-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte demandé. || این گزینه قاعده را بیش از دامنهٔ درست آن تعمیم می‌دهد. || این گزینه دامنه یا معنای قاعدهٔ هدف را بیش از حد تعمیم می‌دهد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,729c2711-27bc-5dae-bc90-0c38eb2119df,e4b502e3-1e86-437b-9f13-5489dedacd88,L15-S01,B064-B067,GMP-FULL-B064-Q001,35,L15-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable dans un autre contexte. || این گزینه قاعده‌ای درست در بافت دیگر را به بافت فعلی منتقل می‌کند. || این گزینه قاعده‌ای معتبر در بافت دیگر را به بافت فعلی منتقل می‌کند.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,79bc4a82-f30c-5505-99da-d3afe01e5e6e,e4b502e3-1e86-437b-9f13-5489dedacd88,L15-S01,B064-B067,GMP-FULL-B064-Q001,35,L15-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,498a9d1d-2b12-582a-be1f-d2a58a4a3daa,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,B064-B067,GMP-FULL-B064-Q002,36,L15-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable dans un autre contexte. || این گزینه قاعده‌ای درست در بافت دیگر را به بافت فعلی منتقل می‌کند.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,7df9fdcc-48f4-5a56-93e6-64e7018da63c,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,B064-B067,GMP-FULL-B064-Q002,36,L15-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,cade9d59-4ab7-5b9c-a17f-35ab45105002,d1a1e426-69fc-426d-bbec-7fac686417bd,L15-S02,B064-B067,GMP-FULL-B064-Q002,36,L15-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte demandé. || این گزینه قاعده را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,06e47734-1240-53ab-bf6c-261a2b5c4f20,d9e529ef-39ee-4d9c-985d-1458f5649d83,L15-S03,B064-B067,GMP-FULL-B064-Q003,41,L15-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte demandé.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,78af3dfe-81c0-540c-a8e2-2ca9ab50ac3a,d9e529ef-39ee-4d9c-985d-1458f5649d83,L15-S03,B064-B067,GMP-FULL-B064-Q003,41,L15-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,8b46e81e-2eb0-5af6-8eee-87465df9ddfa,d9e529ef-39ee-4d9c-985d-1458f5649d83,L15-S03,B064-B067,GMP-FULL-B064-Q003,41,L15-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable dans un autre contexte.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,54739000-ebe1-52cf-8763-7441fe87d54c,3ed479d1-f9d2-4bdf-a96d-c29c8d6c76ab,L15-S04,B064-B067,GMP-FULL-B064-Q004,35,L15-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte demandé. || این گزینه قاعده را بیش از دامنهٔ درست آن تعمیم می‌دهد. || این گزینه دامنه یا معنای قاعدهٔ هدف را بیش از حد تعمیم می‌دهد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,a191bdd3-5063-567c-9ae1-9a06fd98b7e6,3ed479d1-f9d2-4bdf-a96d-c29c8d6c76ab,L15-S04,B064-B067,GMP-FULL-B064-Q004,35,L15-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fa7e9701-2c7b-5a00-a2bf-3d840856d05b,3ed479d1-f9d2-4bdf-a96d-c29c8d6c76ab,L15-S04,B064-B067,GMP-FULL-B064-Q004,35,L15-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable dans un autre contexte. || این گزینه قاعده‌ای درست در بافت دیگر را به بافت فعلی منتقل می‌کند. || این گزینه قاعده‌ای معتبر در بافت دیگر را به بافت فعلی منتقل می‌کند.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,5f6a9b27-b570-5dff-a9e5-3197069b659e,500d5ebf-e858-4fd3-bb03-749bdf808783,L15-S05,B064-B067,GMP-FULL-B064-Q005,36,L15-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option généralise la règle au-delà du contexte demandé. || این گزینه قاعده را بیش از دامنهٔ درست آن تعمیم می‌دهد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,ca84906c-6ccb-5a63-b4e9-40a314390edd,500d5ebf-e858-4fd3-bb03-749bdf808783,L15-S05,B064-B067,GMP-FULL-B064-Q005,36,L15-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option transpose au contexte présent une forme valable dans un autre contexte. || این گزینه قاعده‌ای درست در بافت دیگر را به بافت فعلی منتقل می‌کند.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,fdd744c7-0b59-54b4-9485-f016ee543b43,500d5ebf-e858-4fd3-bb03-749bdf808783,L15-S05,B064-B067,GMP-FULL-B064-Q005,36,L15-S05,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L15-S05,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B064–B067 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Cette option confond la forme cible avec une forme ou une règle proche. || این گزینه صورت هدف را با یک صورت یا قاعدهٔ نزدیک اشتباه می‌گیرد.,Question Bank B064-B067 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
