catalogue_version,misconception_id,home_subtopic_id,home_subtopic_code,question_bank_scope,first_external_id,use_count,subtopic_codes_seen,family,name_fa,statement_fa,diagnostic_interpretation_fa,distractor_authoring_hint_fa,priority,status,empirical_commonness,evidence_examples,source_ref
question-bank-misconception-compatibility-v1.0.0,4064ac79-49b7-5841-9c37-2b09fdc2aa10,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,B032-B033,GMP-FULL-B032-Q001,24,L07-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte. || نادرست: این گزینه نسبت خانوادگی، نسل یا نقش تعیین‌کننده را در بافت سؤال درست حفظ نمی‌کند.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,7b3adeaf-42e0-5734-93c4-2d3cc3b77ebf,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,B032-B033,GMP-FULL-B032-Q001,24,L07-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte. || نادرست: این گزینه نسبت خانوادگی، نسل یا نقش تعیین‌کننده را در بافت سؤال درست حفظ نمی‌کند.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,c9219f32-2c57-5a02-b29b-e9f73e82e24b,51603058-dbbb-4109-8ac0-083ee583457e,L07-S01,B032-B033,GMP-FULL-B032-Q001,19,L07-S01,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S01,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix confond la relation de parenté, la génération ou la valeur du déterminant dans ce contexte.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,1274d9ea-0884-5775-9f74-5de1a158b31a,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,B032-B033,GMP-FULL-B032-Q002,24,L07-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit. || نادرست: این گزینه یک نسبت سببی/خانوادگی دیگر را به‌جای نسبت خواسته‌شده انتخاب می‌کند. || Incorrect : ce terme nomme une autre relation familiale ou d’alliance que celle décrite.,Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,61fc4b21-73d8-54dd-8cad-fdd46ba4a4c9,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,B032-B033,GMP-FULL-B032-Q002,24,L07-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit. || نادرست: این گزینه یک نسبت سببی/خانوادگی دیگر را به‌جای نسبت خواسته‌شده انتخاب می‌کند. || Incorrect : ce terme nomme une autre relation familiale ou d’alliance que celle décrite.,Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,663c8d9f-4932-5fae-a3e4-1fab8ce35297,6fc2bc73-6743-4148-bbc3-269f4c7a6b4a,L07-S02,B032-B033,GMP-FULL-B032-Q002,24,L07-S02,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S02,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : ce choix attribue un autre lien d’alliance ou de famille recomposée que celui décrit. || نادرست: این گزینه یک نسبت سببی/خانوادگی دیگر را به‌جای نسبت خواسته‌شده انتخاب می‌کند. || Incorrect : ce terme nomme une autre relation familiale ou d’alliance que celle décrite.,Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,2434f5de-cfe3-5a13-83e7-db35fdf33137,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,B032-B033,GMP-FULL-B032-Q003,24,L07-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte. || Incorrect : ce choix confond « gens », « personnes », « tout le monde » ou « le monde entier », ainsi que leur accord ou leur portée.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,24b2a230-d8ff-5075-adb1-404774bc426a,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,B032-B033,GMP-FULL-B032-Q003,24,L07-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte. || Incorrect : ce choix confond « gens », « personnes », « tout le monde » ou « le monde entier », ainsi que leur accord ou leur portée.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,bfd1fd88-415b-5ae9-a701-e203aced2b40,1f8da7b2-8ddd-4c97-ad9b-d7dd6596eaa9,L07-S03,B032-B033,GMP-FULL-B032-Q003,24,L07-S03,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S03,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,"Incorrect : ce choix ne respecte pas la valeur de gens/personnes/tout le monde, le caractère comptable ou l’accord exigé par le contexte. || Incorrect : ce choix confond « gens », « personnes », « tout le monde » ou « le monde entier », ainsi que leur accord ou leur portée.",Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
question-bank-misconception-compatibility-v1.0.0,0617c4ad-c364-5580-8298-d58179f55b86,5c5c4c0d-12b8-41aa-90a3-5b4a21fc46e0,L07-S04,B032-B033,GMP-FULL-B032-Q004,28,L07-S04,QUESTION_BANK_COMPATIBILITY,شناسهٔ تشخیصی سازگاری بانک سؤال — L07-S04,این شناسه برای حفظ نگاشت تشخیصی distractorهای موجود در بانک سؤال B032–B033 ثبت شده است و جایگزین یا توسعهٔ taxonomy رسمی Stage7 نیست.,انتخاب این distractor باید با توضیح همان گزینه و context سؤال تفسیر شود؛ برای authoring جدید باید از شناسه‌های canonical Stage7 استفاده شود.,فقط برای سازگاری داده‌های موجود است؛ برای تولید سؤال جدید استفاده نشود.,COMPATIBILITY,CANDIDATE_PREDEPLOY_CONTENT_REVIEW,NOT_YET_OBSERVED__STAGE27_CALIBRATION,Incorrect : ce choix ne respecte pas l’opposition de sens liée au déterminant de « ami » dans le contexte donné. || نادرست: این گزینه تقابل معنایی «ami» بر اساس تعیین‌کننده و بافت را رعایت نمی‌کند. || Incorrect : ce choix ne respecte pas la valeur de « ami/amie » indiquée par le déterminant et le contexte.,Question Bank B032-B033 static-authoring artifacts; runtime FK compatibility bridge; Stage23 not executed.
